Inv #,Client,Date,Pay By,Total,Amt Due,Status
CED-10400,Laura Kim,8/28/26,9/27/26,"$5,354.61","$5,354.61",Open
CED-10401,Kevin Malone,5/26/26,6/25/26,"$15,473.42",-,PD
CED-10402,Lakeside Veterinary,7/14/26,8/13/26,"$1,958.78",-,PD
CED-10403,David Fletcher,6/26/26,7/26/26,"$1,136.25","$1,136.25",Past due
CED-10404,Northgate Church,2/16/26,3/18/26,"$1,193.11",-,PD
CED-10405,Copper Kettle Bakery,12/10/25,1/9/26,$424.55,-,PD
CED-10406,Bayside Dental,11/4/25,12/4/25,"$2,731.91",-,PD
CED-10407,Mark Chen,6/29/26,7/29/26,"$3,099.53","$3,099.53",Past due
CED-10408,David Nguyen,4/24/26,5/24/26,"$2,229.12",-,PD
CED-10409,Northgate Church,4/24/26,5/24/26,"$16,979.02",-,PD
CED-10410,David Lindqvist,8/13/26,9/12/26,"$2,313.81",-,PD
CED-10411,Northgate Church,1/22/26,2/21/26,"$18,349.85","$18,349.85",Past due
CED-10412,Chris Baptiste,10/5/25,11/4/25,"$1,515.77",-,PD
CED-10413,"ACME Manufacturing, L.L.C.",4/1/26,5/1/26,"$11,076.78",-,PD
CED-10414,James Dubois,1/4/26,2/3/26,"$1,273.84",-,PD
CED-10415,Chris Baptiste,12/11/25,1/10/26,$341.90,-,PD
CED-10416,Acme Manufacturing LLC,8/11/26,9/10/26,"$16,929.48",-,PD
CED-10417,Maria Greer,3/7/26,4/6/26,"$3,401.45",-,PD
CED-10418,Rachel Nguyen,3/25/26,4/24/26,"$9,652.26",-,PD
CED-10419,Lakeside Veterinary,5/16/26,6/15/26,"$16,144.11",-,PD
CED-10420,Granite Peak Brewing,3/20/26,4/19/26,"$2,446.60",-,PD
CED-10421,Kevin Ortiz,11/24/25,12/24/25,"$4,165.20",-,PD
CED-10422,Karen Chen,10/24/25,11/23/25,"$16,187.28",-,PD
CED-10423,Meadow Ridge HOA,7/27/26,8/26/26,"$9,512.96",-,PD
CED-10424,Pioneer Storage,6/18/26,7/18/26,"$2,266.04",-,PD
CED-10425,David Fletcher,6/11/26,7/11/26,"$1,510.28",-,PD
CED-10426,James Greer,5/31/26,6/30/26,"$1,482.55",-,PD
CED-10427,Meadow Ridge HOA LLC,9/3/26,10/3/26,"$6,693.70",-,PD
CED-10428,Kevin Sullivan,6/22/26,7/22/26,"$2,505.88",-,PD
CED-10429,Linda Fletcher,9/3/26,10/3/26,"$16,567.75","$16,567.75",Open
CED-10430,Patricia Chen,5/10/26,6/9/26,"$7,313.36",-,PD
CED-10431,Karen Murphy,5/11/26,6/10/26,"$2,873.50",-,PD
CED-10432,Chris Greer,11/30/25,12/30/25,"$2,920.45",-,PD
CED-10433,Northgate Church,4/23/26,5/23/26,"$8,176.12",-,PD
CED-10434,Maria Brooks,6/16/26,7/16/26,"$6,002.39",-,PD
CED-10435,Copper Kettle Bakery,8/26/26,9/25/26,"$1,031.64",-,PD
CED-10436,Susan Reyes,4/22/26,5/22/26,$892.27,-,PD
CED-10437,"ACME Manufacturing, L.L.C.",8/8/26,9/7/26,"$11,012.30","$11,012.30",Past due
CED-10438,David Brooks,4/3/26,5/3/26,"$3,237.96",-,PD
CED-10439,Northgate Church,3/4/26,4/3/26,"$4,457.87",-,PD
CED-10440,Northgate Church LLC,8/4/26,9/3/26,$768.58,-,PD
CED-10441,Angela Nguyen,3/30/26,4/29/26,"$1,415.49",-,PD
CED-10442,Angela Ortiz,8/19/26,9/18/26,"$4,002.93","$4,002.93",Past due
CED-10443,Emily Kim,5/19/26,6/18/26,$990.87,-,PD
CED-10444,Thomas Sullivan,10/23/25,11/22/25,"$1,867.08",-,PD
CED-10445,Northgate Church,8/25/26,9/24/26,"$2,907.87",-,PD
CED-10446,Patricia Brooks,10/25/25,11/24/25,"$3,355.48",-,PD
