Ack Id,So Number,Sent Date,Sent To,Method,Acknowledged Total
ACK-SO-26001,SO-26001,2025-06-14,rjones@tricounty-conveyor.com,Email PDF,6847.56
ACK-SO-26002,SO-26002,25-Jul-2025 ,wwhite@great-climate.com,Email PDF,2402.4
ACK-SO-26003,SO-26003,2026-02-15,rmartin@cardinal-poultry.com,Email PDF,18412.4
ACK-SO-26004,SO-26004,02/18/26,bwhite@pioneer-plastics.com,Email PDF,35092.67
ACK-SO-26005,SO-26005,2025-08-05,frobinson@tennessee-lumber.com,Email PDF,32623.65
ACK-SO-26006,SO-26006,2025-08-16,fdelgado@pioneer-plastics.com,EDI 855,1365.32
ACK-SO-26007,SO-26007,12/04/25,eobrien@hickory-waterauthority.com,EDI 855,39801.81
ACK-SO-26008,SO-26008,2025-05-14,rmartin@cardinal-poultry.com,Email PDF,1083.0
ACK-SO-26009,SO-26009,11/24/2025,swhite@hickory-waterauthority.com,EDI 855,7514.5
ACK-SO-26010,SO-26010,2025-08-15,nscott@tricounty-materials.com,Email PDF,126.2
ACK-SO-26011,SO-26011,2025-06-19,hwalker@keystone-steel.com,Email PDF,38745.34
ACK-SO-26012,SO-26012,2025-09-12,mmiller@allegheny-paper.com,Email PDF,991.91
ACK-SO-26013,SO-26013,2025-05-15,wmartinez@piedmont-poultry.com ,Email PDF,2402.4
ACK-SO-26014,SO-26014,2026-03-18,rmartin@cardinal-poultry.com,Email PDF,30321.98
ACK-SO-26015,SO-26015,10/04/25,swhite@hickory-waterauthority.com,Email PDF,547.97
ACK-SO-26016,SO-26016,06-Dec-2025,aallen@lehigh-agequipment.com,Email PDF,3485.84
ACK-SO-26017,SO-26017,"Jun 24, 2025",prodriguez@appalachian-conveyor.com,Email PDF,51849.33
ACK-SO-26018,SO-26018,2026-01-07,ewhite@appalachian-packagingsystems.com,Email PDF,6220.83
ACK-SO-26019,SO-26019,2026-02-25,jclark@fox-climate.com,Email PDF,36329.43
ACK-SO-26020,SO-26020,2025-10-12,wwhite@great-climate.com,Email PDF,8147.25
ACK-SO-26021,SO-26021,2025-08-03,phernandez@pioneer-plastics.com,Email PDF,3664.64
ACK-SO-26022,SO-26022,2025-09-20,awilliams@tricounty-materials.com,Email PDF,8332.09
ACK-SO-26023,SO-26023,2025-05-27,aclark@prairie-foods.com,EDI 855,23832.58
ACK-SO-26024,SO-26024,2025-05-10,elopez@summit-chemical.com,Email PDF,12785.57
ACK-SO-26025,SO-26025,2025-11-18,nobrien@keystone-plastics.com,Email PDF,25317.46
ACK-SO-26026,SO-26026,2025-10-28,wwhite@great-climate.com,Email PDF,2952.36
ACK-SO-26027,SO-26027,2025-11-15,awilliams@tricounty-materials.com,EDI 855,4620.59
ACK-SO-26028,SO-26028,2025-12-29,fwilson@northstar-plastics.com,EDI 855,3104.57
ACK-SO-26029,SO-26029,2025-08-16,nscott@tricounty-materials.com,Email PDF,626.46
ACK-SO-26030,SO-26030,2025-11-13,rmartin@cardinal-poultry.com,Email PDF,46394.06
ACK-SO-26031,SO-26031,2025-08-07,fwalker@riverbend-plastics.com,EDI 855,5318.78
ACK-SO-26032,SO-26032,2025-07-31,wwhite@great-climate.com,Email PDF,4004.0
ACK-SO-26033,SO-26033,01/09/26,rmartin@cardinal-poultry.com,Email PDF,1382.06
ACK-SO-26034,SO-26034,2025-11-22,rclark@piedmont-agequipment.com,EDI 855,51.1
ACK-SO-26035,SO-26035,2025-09-07,sclark@hickory-waterauthority.com,Email PDF,660.66
ACK-SO-26036,SO-26036,2026-01-10,jokafor@iron-materials.com,Email PDF,4843.38
ACK-SO-26037,SO-26037,2026-01-10,rclark@piedmont-agequipment.com,Email PDF,5776.6
ACK-SO-26038,SO-26038,2026-03-19,awilliams@tricounty-materials.com,Email PDF,32766.57
ACK-SO-26039,SO-26039,"Dec 19, 2025",rmartin@cardinal-poultry.com,Email PDF,6780.06
ACK-SO-26040,SO-26040,2025-11-11,rsmith@fox-paper.com,Email PDF,44869.56
ACK-SO-26041,SO-26041,2025-09-10,phernandez@pioneer-plastics.com,Email PDF,19399.45
ACK-SO-26042,SO-26042,2026-02-14,amartinez@fox-paper.com,Email PDF,4290.34
ACK-SO-26043,SO-26043,2025-09-14,elopez@summit-chemical.com,Email PDF,3896.75
ACK-SO-26044,SO-26044,2026-02-20,wwhite@great-climate.com,EDI 855,22824.0
ACK-SO-26045,SO-26045,2025-11-08,jclark@fox-climate.com,EDI 855,32012.66
ACK-SO-26046,SO-26046,2025-09-08,jclark@fox-climate.com,Email PDF,17131.57
ACK-SO-26047,SO-26047,2025-04-15,elopez@summit-chemical.com,Email PDF,24650.12
ACK-SO-26048,SO-26048,2025-06-08,syoung@riverbend-plastics.com,Email PDF,7133.47
ACK-SO-26049,SO-26049,05/24/2025,escott@keystone-steel.com,EDI 855,18213.35
ACK-SO-26050,SO-26050,2025-04-16,hwalker@keystone-steel.com,EDI 855,32723.88
ACK-SO-26051,SO-26051,2025-04-02,awilliams@tricounty-materials.com,Email PDF,11301.09
ACK-SO-26052,SO-26052,2025-11-13,pclark@cardinal-foods.com,EDI 855,38277.7
ACK-SO-26053,SO-26053,2025-10-31,sthompson@iron-materials.com,EDI 855,20351.73
ACK-SO-26054,SO-26054,2025-08-04,fjohnson@northstar-plastics.com,EDI 855,11710.92
ACK-SO-26055,SO-26055,2025-05-24,phernandez@pioneer-plastics.com,EDI 855,4291.64
ACK-SO-26056 ,SO-26056,2025-11-21,ewhite@appalachian-packagingsystems.com,Email PDF,5128.18
ACK-SO-26057,SO-26057,2026-01-26,pharris@susquehanna-packagingsystems.com,Email PDF,21393.47
ACK-SO-26058,SO-26058,2025-10-02,srodriguez@northstar-plastics.com,Email PDF,2333.98
ACK-SO-26059,SO-26059,04/13/25,sthompson@iron-materials.com,EDI 855,17612.62
ACK-SO-26060,SO-26060,2025-10-22,rsmith@fox-paper.com,Email PDF,10661.36
ACK-SO-26061,SO-26061,2026-01-28,pwright@hickory-lumber.com,Email PDF,522.79
ACK-SO-26062,SO-26062,2025-12-06,aallen@lehigh-agequipment.com,Email PDF,11198.56
ACK-SO-26063,SO-26063,2026-02-01,rjones@tricounty-conveyor.com,EDI 855,320.0
ACK-SO-26064,SO-26064,2025-09-28,lwright@hickory-lumber.com,Email PDF,1796.08
ACK-SO-26065,SO-26065,2026-02-12,amartinez@fox-paper.com,EDI 855,5693.19
ACK-SO-26066,SO-26066,18-Nov-2025,jclark@fox-climate.com,EDI 855 ,79451.05
ACK-SO-26067,SO-26067,2025-05-11,rjones@tricounty-conveyor.com,EDI 855,10175.34
ACK-SO-26068,SO-26068,2025-08-08 ,jokafor@iron-materials.com,EDI 855,10858.84
ACK-SO-26069,SO-26069,2025-07-07,sthompson@iron-materials.com,EDI 855,285.52
ACK-SO-26070,SO-26070,2025-07-14,mmiller@allegheny-paper.com,Email PDF,12223.68
ACK-SO-26071,SO-26071,2025-08-04,nscott@tricounty-materials.com,Email PDF,2083.9
ACK-SO-26072,SO-26072,2025-08-16,aallen@lehigh-agequipment.com,Email PDF,5852.76
ACK-SO-26073,SO-26073,2025-06-27,fjohnson@northstar-plastics.com,EDI 855,12522.53
ACK-SO-26074,SO-26074,2025-12-28,swhite@hickory-waterauthority.com,Email PDF,25337.73
ACK-SO-26075,SO-26075,10-Oct-2025,swhite@hickory-waterauthority.com,Email PDF,31887.56
ACK-SO-26076,SO-26076,2025-10-02,mmiller@allegheny-paper.com,Email PDF,54009.98
ACK-SO-26077,SO-26077,2025-12-23 ,lwright@hickory-lumber.com,Email PDF,118.28
ACK-SO-26078,SO-26078,2025-12-15,pwright@hickory-lumber.com,EDI 855,28177.18
ACK-SO-26079,SO-26079,2025-08-21,aallen@lehigh-agequipment.com,EDI 855,10941.05
ACK-SO-26080,SO-26080,2025-12-20,swhite@hickory-waterauthority.com,EDI 855,8792.29
ACK-SO-26081 ,SO-26081,2025-11-20,schoi@appalachian-conveyor.com,Email PDF,14076.12
ACK-SO-26082,SO-26082,2025-04-07,fwalker@riverbend-plastics.com,Email PDF,14214.67
ACK-SO-26083,SO-26083,2025-06-11,nmoore@hickory-steel.com,EDI 855,25678.73
ACK-SO-26084 ,SO-26084,11/17/2025,nobrien@keystone-plastics.com,Email PDF,87040.01
ACK-SO-26085,SO-26085,2026-04-01,wwhite@great-climate.com,Email PDF,5089.0
ACK-SO-26086,SO-26086,2026-03-29,clewis@hickory-steel.com,Email PDF,12225.93
ACK-SO-26087,SO-26087,2025-11-24,sclark@hickory-waterauthority.com,Email PDF,15801.3
ACK-SO-26088,SO-26088,2025-04-10,awright@tennessee-lumber.com,Email PDF,374.98
ACK-SO-26089,SO-26089,06/03/2025,wmartinez@piedmont-poultry.com,Email PDF,26375.78
ACK-SO-26090,SO-26090,2025-05-21,awilliams@tricounty-materials.com,Email PDF,17310.33
ACK-SO-26091,SO-26091,2025-07-15,rking@prairie-foods.com,EDI 855,25353.68
ACK-SO-26092,SO-26092,2025-10-05,fjackson@riverbend-plastics.com,Email PDF,32111.26
ACK-SO-26093,SO-26093,2026-03-16,wmartinez@piedmont-poultry.com,Email PDF,19628.59
ACK-SO-26094,SO-26094,2025-09-06,pwright@hickory-lumber.com,Email PDF,321.8
ACK-SO-26095,SO-26095,2025-05-31,bwhite@pioneer-plastics.com,Email PDF,460.0
ACK-SO-26096,SO-26096,2025-11-30,mhernandez@cardinal-plastics.com,EDI 855,26258.02
ACK-SO-26097,SO-26097,2025-12-14,escott@keystone-steel.com,EDI 855,30154.07
ACK-SO-26098,SO-26098,2025-12-16,aallen@lehigh-agequipment.com,Email PDF,13116.04
ACK-SO-26099,SO-26099,2025-12-27,krodriguez@riverbend-packagingsystems.com,Email PDF,5141.75
ACK-SO-26100,SO-26100,2025-07-19,pharris@susquehanna-packagingsystems.com,Email PDF,26828.06
ACK-SO-26101,SO-26101,2026-01-17,rmartin@cardinal-poultry.com,Email PDF,192.46
ACK-SO-26102,SO-26102,2025-07-01,nobrien@keystone-plastics.com,Email PDF,28975.05
ACK-SO-26103,SO-26103,2025-06-11,nscott@tricounty-materials.com,EDI 855,43949.88
ACK-SO-26104,SO-26104,2025-09-20,jclark@fox-climate.com,Email PDF,1257.75
ACK-SO-26105,SO-26105,2025-08-05 ,pwright@hickory-lumber.com,Email PDF,630.63
ACK-SO-26106,SO-26106,2025-08-07,mhernandez@cardinal-plastics.com,EDI 855,5760.36
ACK-SO-26107,SO-26107,2026-03-29,oschneider@cardinal-plastics.com,Email PDF,13458.02
ACK-SO-26108,SO-26108,2025-06-05,nmoore@hickory-steel.com,Email PDF,38548.94
ACK-SO-26109,SO-26109,2025-11-18,rking@prairie-foods.com,Email PDF,19105.61
ACK-SO-26110,SO-26110,2026-03-23,wwhite@great-climate.com,Email PDF,60119.73
ACK-SO-26111,SO-26111,2025-07-04,lwright@hickory-lumber.com,Email PDF,23258.64
ACK-SO-26112,SO-26112,2025-08-12,nobrien@keystone-plastics.com,Email PDF,2540.65
ACK-SO-26113,SO-26113,2025-07-15,rmartin@cardinal-poultry.com,Email PDF,18.92
ACK-SO-26114,SO-26114,2025-06-15,aallen@lehigh-agequipment.com,Email PDF,11354.74
ACK-SO-26115,SO-26115,2025-04-05,jnakamura@cardinal-foods.com,Email PDF,3147.0
ACK-SO-26116,SO-26116,2025-10-06,srodriguez@northstar-plastics.com,Email PDF,7868.31
ACK-SO-26117,SO-26117,2025-12-22,rmartin@cardinal-poultry.com,Email PDF,22919.19
ACK-SO-26118,SO-26118,"Oct 28, 2025",wmartinez@piedmont-poultry.com,EDI 855,6995.03
ACK-SO-26119,SO-26119,2026-01-03,krodriguez@riverbend-packagingsystems.com,Email PDF,968.73
ACK-SO-26120,SO-26120,"Mar 12, 2026",mhernandez@cardinal-plastics.com,Email PDF,11319.3
ACK-SO-26121,SO-26121,2025-11-27,aclark@prairie-foods.com,Email PDF,2539.11
ACK-SO-26122,SO-26122,2025-06-26,pharris@susquehanna-packagingsystems.com,Email PDF,15478.3
ACK-SO-26123,SO-26123,17-Aug-2025,aallen@lehigh-agequipment.com,Email PDF,23598.45
ACK-SO-26124,SO-26124,2026-03-03,mmiller@allegheny-paper.com,EDI 855,9041.44
ACK-SO-26125,SO-26125,2026-03-26,mdelgado@lehigh-agequipment.com,Email PDF,2285.45
ACK-SO-26126,SO-26126,2025-12-08,wwhite@great-climate.com,Email PDF,15885.56
ACK-SO-26127,SO-26127,2026-02-10,eobrien@hickory-waterauthority.com,Email PDF,1027.44
ACK-SO-26128,SO-26128,21-Sep-2025,rsmith@fox-paper.com,EDI 855,30476.06
ACK-SO-26129,SO-26129,2026-03-14,lwright@hickory-lumber.com,Email PDF,21896.31
ACK-SO-26130,SO-26130,2026-01-08,bwhite@pioneer-plastics.com,EDI 855,9634.04
ACK-SO-26131,SO-26131,2025-04-29,mharris@tennessee-lumber.com,EDI 855,14258.51
ACK-SO-26132,SO-26132,2026-01-03,jclark@fox-climate.com,Email PDF,2122.28
ACK-SO-26133,SO-26133,2025-12-23,pharris@susquehanna-packagingsystems.com,EDI 855,16826.2
ACK-SO-26134,SO-26134,2025-05-12,aschneider@piedmont-agequipment.com,EDI 855,3320.24
ACK-SO-26135,SO-26135,2026-02-23,nobrien@keystone-plastics.com,Email PDF,7450.8
ACK-SO-26136,SO-26136,2025-09-15,escott@keystone-steel.com,Email PDF,7718.71
ACK-SO-26137,SO-26137,2025-11-23,pharris@susquehanna-packagingsystems.com,Email PDF,5034.04
ACK-SO-26138 ,SO-26138,2026-03-09,fwalker@riverbend-plastics.com,EDI 855,13622.78
ACK-SO-26139 ,SO-26139 ,2025-10-01,clewis@hickory-steel.com,EDI 855,41647.45
ACK-SO-26140,SO-26140,2026-01-04,nscott@tricounty-materials.com,EDI 855,12604.41
ACK-SO-26141,SO-26141,2026-01-26,elopez@summit-chemical.com,EDI 855,11720.11
ACK-SO-26142,SO-26142,2025-04-12,frobinson@tennessee-lumber.com,EDI 855,1381.91
ACK-SO-26143,SO-26143,2025-08-06,rmartin@cardinal-poultry.com,Email PDF ,1176.1
ACK-SO-26144,SO-26144,"Oct 07, 2025",nmoore@hickory-steel.com,Email PDF,6572.96
ACK-SO-26145,SO-26145,2025-07-13,aharris@iron-materials.com,Email PDF,49094.13
ACK-SO-26146,SO-26146,03/07/2026,hwalker@keystone-steel.com,Email PDF,61.79
ACK-SO-26147,SO-26147,2025-08-23,mdelgado@lehigh-agequipment.com,EDI 855,2792.05
ACK-SO-26148,SO-26148,2025-05-05,jokafor@iron-materials.com,Email PDF,6784.03
ACK-SO-26149,SO-26149,2025-07-01,rmartin@cardinal-poultry.com,Email PDF,17717.14
ACK-SO-26150,SO-26150,2026-01-07,syoung@riverbend-plastics.com,Email PDF,286.91
ACK-SO-26151,SO-26151,"May 23, 2025",aharris@iron-materials.com,Email PDF,1763.15
ACK-SO-26152,SO-26152,2025-05-27 ,mhernandez@cardinal-plastics.com,Email PDF,32077.07
ACK-SO-26153,SO-26153,2025-08-11,banderson@iron-plastics.com,Email PDF,29253.75
ACK-SO-26154,SO-26154,2025-12-21,wwhite@great-climate.com,Email PDF,15264.06
