Rfq Id,Customer Id,Received Date,Channel,Requested By,Due Date,Assigned To,Status
KBD-RFQ0001,KBD-CUST0026,02/13/2026,EDI 840,Betty White,2026-02-20,E024,Quoted
KBD-RFQ0002,KBD-CUST0011,2025-09-13,EDI 840,Sandra Clark,2025-09-16,E014,Quoted
KBD-RFQ0003,KBD-CUST0016,2025-11-18,Phone,Anthony Allen,2025-11-22,E017,Quoted
KBD-RFQ0004,KBD-CUST0030,2026-02-14,Portal,Joseph Clark,2026-02-15,E013,Quoted
KBD-RFQ0005,KBD-CUST0026,2025-07-30,Email,Paul Hernandez,04-Aug-2025,E013,Quoted
KBD-RFQ0006,KBD-CUST0019,2025-08-05,EDI 840,Andrew Williams,2025-08-13,E018 ,Quoted
KBD-RFQ0007,KBD-CUST0026,2025-09-03,EDI 840,Betty White,2025-09-05,E018,Quoted
KBD-RFQ0008,KBD-CUST0025,2026-02-14,Email,William White,2026-02-18,E025,Quoted
KBD-RFQ0009,KBD-CUST0013,2025-05-26,Email,Fatima Jackson,2025-05-29,E015,Quoted
KBD-RFQ0010,KBD-CUST0022,"May 06, 2025",Email ,Hiro Walker,2025-05-11,E013,Quoted
KBD-RFQ0011,KBD-CUST0022,2025-04-01,Email,Hiro Walker,2025-04-04,E025,Quoted
KBD-RFQ0012,KBD-CUST0005,2025-11-05,Phone,Jessica Nakamura,2025-11-11,E015,Quoted
KBD-RFQ0013,KBD-CUST0032,2026-01-11,Email,Priya Harris,2026-01-15,E018,Quoted
KBD-RFQ0014,KBD-CUST0031,2025-04-10,Email,Joseph Okafor,04/12/2025,E017,Quoted
KBD-RFQ0015,KBD-CUST0014,2025-10-19,Email,Aisha Martinez,2025-10-21,E014,Quoted
KBD-RFQ0016,KBD-CUST0015,"Sep 07, 2025",Email,Linda Wright,2025-09-13,E015 ,Quoted
KBD-RFQ0017,KBD-CUST0020,2025-06-04,Phone,Fatima Wilson,11-Jun-2025,E014,Quoted
KBD-RFQ0018,KBD-CUST0017,2026-03-08,Email,Carlos Lewis,2026-03-11,E013,Quoted 
KBD-RFQ0019,KBD-CUST0019,2025-05-07,Email,Nancy Scott,2025-05-11,E024,Quoted
KBD-RFQ0020,KBD-CUST0026,2025-05-08,Phone,Fatima Delgado ,2025-05-14,E024,Quoted
