Shipment Id,Delivered Date,Signed By,Exceptions,Source
SH-50001,2025-07-05,S. Schneider,,Carrier API
SH-50002,2025-08-25,N. Miller,Short 1 carton,Carrier API
SH-50003,2026-03-21,D. Anderson,Short 1 carton,Driver app
SH-50004,2026-03-21,W. Taylor,Short 1 carton,Scanned POD
SH-50005,2025-09-06,A. King,,Carrier API
SH-50006,2025-09-15,J. Schneider,Short 1 carton,Carrier API
SH-50007,2026-01-09,J. Smith,,Driver app
SH-50008,2025-06-08,L. Kowalski,,Scanned POD
SH-50009,2025-11-30,D. Robinson,1 carton damaged,Driver app
SH-50010,2025-08-21,L. Hernandez,Short 1 carton,Carrier API
SH-50011,2025-07-17,A. Nakamura,,Carrier API
SH-50012,2025-10-13,P. Rodriguez ,,Carrier API
SH-50013,2025-06-22,P. Thompson,,Scanned POD
SH-50014,2025-10-29,M. Hernandez,,Scanned POD
SH-50015,2026-01-03,C. Choi,,Carrier API
SH-50017,2026-02-09,S. Nakamura,,Carrier API
SH-50018,2026-03-24,K. Clark,,Carrier API 
SH-50019,2025-11-10,R. Harris,,Driver app
SH-50020,08/30/2025,J. Miller,1 carton damaged,Driver app
SH-50021,2025-10-17,M. Taylor,,Carrier API
SH-50022 ,2025-07-04,W. Lopez,,Carrier API
SH-50025,2025-11-09,D. O'Brien,,Scanned POD
SH-50026,2025-12-13,M. Nakamura,Short 1 carton,Scanned POD
SH-50027,2026-02-02,K. Schneider ,,Carrier API
SH-50029,2025-12-05,S. Allen ,,Carrier API
SH-50031,2025-08-23,A. Choi,,Carrier API
SH-50032 ,2026-02-10,A. Garcia,1 carton damaged,Scanned POD
SH-50034,2025-10-05,M. Davis,,Carrier API
SH-50035,2026-01-28,S. White,1 carton damaged,Carrier API
SH-50036,2026-01-29,R. Okafor,Short 1 carton,Carrier API
SH-50037 ,2026-03-29,P. Jackson,1 carton damaged,Carrier API
SH-50038,2026-01-19,M. Hernandez,1 carton damaged,Carrier API
SH-50039,"Dec 12, 2025",K. Taylor,Short 1 carton,Scanned POD
SH-50040,"Oct 10, 2025",E. Garcia,Short 1 carton,Carrier API
SH-50041,2026-03-15,M. Garcia,,Scanned POD
SH-50043,2026-03-25,R. Young ,1 carton damaged,Carrier API
SH-50044,2025-12-07,M. Harris,,Scanned POD
SH-50047,2025-06-24,K. Schneider,Short 1 carton,Driver app
SH-50048,2025-06-16,S. Okafor,Short 1 carton,Driver app
SH-50049,2025-05-08,F. Lewis,,Carrier API
SH-50050,2025-04-30,J. King,Short 1 carton,Scanned POD
SH-50051,2025-11-30,J. Anderson,1 carton damaged,Carrier API
SH-50052,2025-11-13,H. Moore,,Scanned POD
SH-50054,2025-06-28,J. King,,Carrier API
SH-50055,2025-12-24,M. White,Short 1 carton,Driver app
SH-50056,2026-02-19,B. Davis ,1 carton damaged,Driver app
SH-50057,2025-10-16,E. White,,Carrier API
SH-50058,2025-05-10,G. Schneider,,Carrier API
SH-50059,11/01/25,M. Robinson,,Carrier API
SH-50060,2026-03-04,S. King,,Driver app
SH-50062,2026-02-26,B. Wilson,,Carrier API
SH-50063,2025-10-25,M. Brown ,Short 1 carton,Driver app
SH-50065,2025-12-24,S. Garcia,Short 1 carton,Carrier API
SH-50067 ,09/16/25,M. Scott,Short 1 carton,Scanned POD
SH-50068,2025-08-09,A. Fitzgerald,Short 1 carton,Carrier API
SH-50069,2025-08-03,B. Delgado,Short 1 carton,Scanned POD
SH-50070,2025-08-23,D. Choi,,Carrier API
SH-50071,2025-09-17,R. Jones,,Carrier API
SH-50072,2025-07-28,J. Johnson,Short 1 carton,Scanned POD
SH-50074,2025-11-02,O. O'Brien,,Carrier API
SH-50076,2026-01-01,B. Young,Short 1 carton,Scanned POD
SH-50077,01/16/2026,P. Jones,,Scanned POD
SH-50078,09/22/25,A. Young,,Carrier API
SH-50079,2026-01-02,B. Garcia,,Driver app
SH-50080,12/11/25,D. Fitzgerald,,Carrier API
SH-50081,2025-04-28,R. Schneider,Short 1 carton,Carrier API
SH-50082,2025-07-13,M. Johnson,,Driver app
SH-50083,12/08/2025,H. O'Brien,1 carton damaged,Driver app
SH-50084,2025-12-26,L. Clark,1 carton damaged,Carrier API
SH-50085,2025-04-27,P. Wright,,Carrier API
SH-50086,2025-06-30,H. Robinson,1 carton damaged,Carrier API
