Employee Id,Full Name,Email,Title,Department,Hire Date,Employment Type,Pay Type,Pay Rate,Shift,Manager Id,Location,Status,Termination Date
E001,Maria Garcia,mgarcia@keystonebd.com,President,Executive,2020-06-08,Full-Time,Salary,149000,1st,,Allentown,Active,
E002,Karen Kowalski,kkowalski@keystonebd.com,Controller,Finance,2009-01-14,Full-Time,Salary,134000,1st,E001,Allentown,Active,
E003,Carlos Lewis,clewis@keystonebd.com,Accounting Clerk,Finance,2009-10-13,Full-Time ,Salary,107500,1st,E001,Allentown,Active,
E004,Elena Anderson,eanderson@keystonebd.com,Operations Manager,Operations,2018-11-10,Full-Time,Salary,129000,1st,E001,Allentown,Active,
E005,Omar Clark,oclark@keystonebd.com,Assembly Technician,Operations,2013-04-05,Full-Time,Hourly,28.75,1st,E001,Allentown,Active,2025-08-10
E006,Ashley Brown,abrown@keystonebd.com,Assembly Technician,Operations,2011-11-16,Full-Time,Hourly,28.75,1st,E001,Allentown,Active,
E007,Jessica Young,jyoung@keystonebd.com,Assembly Technician,Operations,08/13/11,Full-Time,Hourly,30.5,1st,E001,Allentown,Active,
E008,Robert Taylor,rtaylor@keystonebd.com,Assembly Technician,Operations,2013-06-12,Part-Time,Hourly,26.25,1st,E001,Allentown,Active,
E009,Carlos Fitzgerald,cfitzgerald@keystonebd.com,Assembly Technician,Operations,2009-10-14,Full-Time,Hourly,26.25,2nd,E001,Allentown,Active,
E010,Anthony Thompson,athompson@keystonebd.com,Assembly Technician,Operations,2019-12-06,Part-Time,Hourly,31.0,2nd,E001,Allentown,Active,2025-06-22
E011,Sandra O'Brien,sobrien@keystonebd.com,Buyer,Purchasing,2007-10-02,Full-Time,Salary,128500,1st,E001,Allentown,Active,
E012,Donna Hernandez,dhernandez@keystonebd.com,Buyer,Purchasing,2015-09-15,Full-Time,Salary,137000,1st,E001,Allentown,Active,
E013,Linda Lewis,llewis@keystonebd.com,Inside Sales Rep,Sales,2019-02-15,Full-Time,Salary,138000,1st ,E001,Allentown,Active,06-Mar-2026
E014,Matthew Nakamura,mnakamura@keystonebd.com,Inside Sales Rep,Sales,2017-11-03 ,Full-Time,Salary,84500,1st,E001,Allentown ,Active,
E015,Steven Wright,swright@keystonebd.com,Inside Sales Rep,Sales,2017-04-25,Full-Time,Salary,150500,1st,E001,Allentown,Active,
E016,Michelle White,mwhite@keystonebd.com,Inside Sales Rep,Sales,06/12/06,Part-Time,Salary,161000,1st,E001,Allentown,Active,
E017,Elena Young,eyoung@keystonebd.com,Inside Sales Rep,Sales,2021-07-03,Full-Time,Salary,63000,1st,E001,Allentown,Active,
E018,Priya Allen,pallen@keystonebd.com,Inside Sales Rep,Sales,"Aug 30, 1998",Full-Time,Salary,57500,1st,E001,Allentown,Active,
E019,Patricia Walker,pwalker@keystonebd.com,Outside Sales Rep,Sales,2020-03-27,Full-Time,Salary,104500,1st,E001,Allentown,Active,
E020,Susan Johnson ,sjohnson@keystonebd.com,Outside Sales Rep,Sales,2006-11-30,Full-Time ,Salary,124500,1st,E001,Allentown,Active,
E021,Jennifer Smith,jsmith@keystonebd.com,Outside Sales Rep,Sales,2016-11-29,Full-Time,Salary,79000,1st,E001,Allentown,Active,
E022,David Brown,dbrown@keystonebd.com,Outside Sales Rep,Sales,2006-11-29,Full-Time,Salary,57500,1st,E001,Allentown,Active,
E023,Robert Nakamura,rnakamura@keystonebd.com,Outside Sales Rep,Sales,2000-09-23,Full-Time,Salary,82000,1st,E001,Allentown,Active,2026-02-28
E024,Sandra Schneider,sschneider@keystonebd.com ,Customer Service Rep,Sales,2008-08-10,Full-Time,Salary,155500,1st,E001,Allentown,Active,
E025,Jennifer Walker,jwalker@keystonebd.com,Customer Service Rep,Sales,2000-03-13,Full-Time,Salary,155500,1st,E001,Allentown,Active,
E026,William Garcia,wgarcia@keystonebd.com,Warehouse Associate,Warehouse,2007-02-06,Full-Time,Hourly,29.5,1st,E001,Allentown,Terminated,
E027,Maria Wilson,mwilson@keystonebd.com,Warehouse Associate,Warehouse,2020-03-03,Full-Time,Hourly,27.5,2nd,E001,Allentown,Active,
E028,Nancy Allen,nallen@keystonebd.com,Warehouse Associate,Warehouse,2025-04-27,Full-Time,Hourly,26.25,1st,E001,Allentown,Active,
E029,Brian King,bking@keystonebd.com,Warehouse Associate,Warehouse,2017-05-28,Full-Time,Hourly,18.75,1st,E001 ,Allentown,Active,
E030,Wei Brown,wbrown@keystonebd.com,Warehouse Associate,Warehouse,16-Oct-2001,Full-Time,Hourly,31.25,1st,E001,Allentown,Active,
E031,Omar Kowalski,okowalski@keystonebd.com,Warehouse Associate,Warehouse,1999-03-28,Part-Time,Hourly,29.75,1st,E001,Allentown,Active,
E032,Thomas Wilson,twilson@keystonebd.com,Warehouse Associate ,Warehouse,1999-11-04,Part-Time,Hourly,31.0,2nd,E001,Allentown,Active,2026-02-28
E033,Aisha Delgado,adelgado@keystonebd.com,Warehouse Associate,Warehouse,2007-09-14,Full-Time,Hourly,29.0,1st,E001,Allentown,Active,
E034,Ashley Brown,abrown@keystonebd.com,Warehouse Associate,Warehouse,2003-08-07,Full-Time,Hourly,26.25,2nd,E001,Allentown,Terminated,
E035,Jennifer Rodriguez ,jrodriguez@keystonebd.com,Warehouse Associate,Warehouse,2021-01-29,Full-Time,Hourly,29.0,2nd,E001,Allentown,Active,
E036,David Thompson,dthompson@keystonebd.com ,Warehouse Manager,Warehouse,2012-12-07,Full-Time,Salary,142000,1st,E001,Allentown,Active,
E037,Betty Martinez,bmartinez@keystonebd.com,Delivery Driver,Warehouse,2006-10-22,Full-Time,Hourly,30.75,1st,E001,Allentown,Terminated,
E038,Omar Jones,ojones@keystonebd.com,Delivery Driver,Warehouse,2023-12-30,Part-Time,Hourly,21.0,1st,E001,Allentown,Active,
E039,Carlos Lee,clee@keystonebd.com,Delivery Driver,Warehouse,2002-09-11,Full-Time,Hourly,23.0,2nd,E001,Allentown,Terminated,
E040,Anthony Jackson,ajackson@keystonebd.com,Applications Engineer,Engineering,2002-08-22,Full-Time,Salary,106000,1st,E001,Allentown,Active,
E041,Anthony Brown,abrown@keystonebd.com,Applications Engineer,Engineering,2005-11-30 ,Part-Time,Salary,58000,1st,E001,Allentown,Active,
E042,Fatima O'Brien,fobrien@keystonebd.com,Branch Manager,Sales,2004-11-11,Full-Time,Salary,87500,1st,E001,Allentown,Active,
E043,David Jackson,djackson@keystonebd.com,Branch Manager,Sales,1999-09-10,Full-Time,Salary,148000,1st,E001,Allentown,Active,
E044,Maria Schneider,mschneider@keystonebd.com,HR/Office Manager,HR,2010-06-28,Full-Time,Salary,101500,1st,E001,Allentown,Active,
E045,Michael Delgado,mdelgado@keystonebd.com,Quality Coordinator,Quality,2013-04-30,Full-Time,Hourly,31.0,1st,E001,Allentown,Active,
