ack_id,so_number,sent_date,sent_to,method,acknowledged_total
ACK-SO-26001,SO-26001,2025-08-05,jbrown@fox-lumber.com,EDI 855,25311.85
ACK-SO-26002,SO-26002,2025-06-19,pwilliams@iron-chemical.com,Email PDF,4623.18
ACK-SO-26003,SO-26003,2025-07-27,lthompson@iron-chemical.com,Email PDF,5838.35
ACK-SO-26004,SO-26004,2025-08-06,pwalker@cumberland-materials.com,EDI 855,5948.04
ACK-SO-26005,SO-26005,2025-05-16,lsmith@cardinal-poultry.com,Email PDF,1126.2
ACK-SO-26006,SO-26006,2025-12-04,aking@pioneer-lumber.com,EDI 855,10828.65
ACK-SO-26007,SO-26007,2025-07-19,mthomas@summit-foods.com,EDI 855,1089.66
ACK-SO-26008,SO-26008,2025-09-21,bwilson@iron-conveyor.com,Email PDF,1808.38
ACK-SO-26009,SO-26009,2025-09-09,wbrown@midwest-climate.com,Email PDF,11232.96
ACK-SO-26010,SO-26010,2025-12-19,eking@summit-conveyor.com,Email PDF,4736.33
ACK-SO-26011,SO-26011,2025-07-07,slopez@great-automotive.com,Email PDF,33038.04
ACK-SO-26012,SO-26012,2025-06-26,wobrien@cardinal-conveyor.com,Email PDF,9715.13
ACK-SO-26013,SO-26013,2025-08-27,bschneider@pioneer-paper.com,EDI 855,885.78
ACK-SO-26014,SO-26014,2025-05-01,omartin@allegheny-paper.com,Email PDF,8321.77
ACK-SO-26015,SO-26015,2025-07-15,aking@pioneer-lumber.com,Email PDF,588.52
ACK-SO-26016,SO-26016,2025-05-23,omartinez@summit-conveyor.com,Email PDF,5427.37
ACK-SO-26017,SO-26017,2025-12-04,lrodriguez@prairie-materials.com,Email PDF,3855.53
ACK-SO-26018,SO-26018,2025-08-07,ddelgado@prairie-poultry.com,EDI 855,49415.85
ACK-SO-26019,SO-26019,2025-07-11,mallen@fox-paper.com,Email PDF,4698.17
ACK-SO-26020,SO-26020,2025-07-08,pwilliams@iron-chemical.com,Email PDF,477.08
ACK-SO-26021,SO-26021,2025-09-27,gthompson@iron-conveyor.com,Email PDF,18817.04
ACK-SO-26022,SO-26022,2025-10-31,mtaylor@lehigh-paper.com,EDI 855,11620.81
ACK-SO-26023,SO-26023,2025-06-30,omartin@allegheny-paper.com,EDI 855,6671.07
ACK-SO-26024,SO-26024,2025-05-22,mtaylor@lehigh-paper.com,EDI 855,8521.64
ACK-SO-26025,SO-26025,2026-01-09,grobinson@iron-chemical.com,Email PDF,13542.21
ACK-SO-26026,SO-26026,2026-03-29,lharris@cardinal-conveyor.com,Email PDF,10355.85
ACK-SO-26027,SO-26027,2026-02-01,pwalker@cumberland-materials.com,EDI 855,2594.03
ACK-SO-26028,SO-26028,2026-03-21,ajackson@keystone-chemical.com,Email PDF,298.58
ACK-SO-26029,SO-26029,2026-03-06,kanderson@fox-paper.com,EDI 855,7211.0
ACK-SO-26030,SO-26030,2026-03-20,dmartin@riverbend-conveyor.com,EDI 855,14630.33
ACK-SO-26031,SO-26031,2025-11-12,lpatel@allegheny-paper.com,Email PDF,13345.5
ACK-SO-26032,SO-26032,2025-12-17,eanderson@tricounty-poultry.com,Email PDF,17900.3
ACK-SO-26033,SO-26033,2025-08-30,lrodriguez@prairie-materials.com,Email PDF,7516.76
ACK-SO-26034,SO-26034,2025-09-17,spatel@midwest-agequipment.com,Email PDF,4471.32
ACK-SO-26035,SO-26035,2025-06-06,mharris@rock-steel.com,Email PDF,25388.45
ACK-SO-26036,SO-26036,2025-04-15,jwhite@midwest-climate.com,EDI 855,3826.97
ACK-SO-26037,SO-26037,2026-01-13,slopez@great-automotive.com,Email PDF,7075.74
ACK-SO-26038,SO-26038,2025-08-13,spatel@midwest-agequipment.com,Email PDF,2064.2
ACK-SO-26039,SO-26039,2025-12-26,fallen@great-lumber.com,Email PDF,16136.73
ACK-SO-26040,SO-26040,2025-05-08,jbrown@fox-lumber.com,EDI 855,588.52
ACK-SO-26041,SO-26041,2025-12-15,syoung@blue-lumber.com,EDI 855,13936.17
ACK-SO-26042,SO-26042,2025-12-12,smiller@summit-foods.com,Email PDF,4822.58
ACK-SO-26043,SO-26043,2026-03-06,tthompson@blue-poultry.com,Email PDF,3428.23
ACK-SO-26044,SO-26044,2025-10-15,ddelgado@prairie-poultry.com,Email PDF,16118.36
ACK-SO-26045,SO-26045,2026-01-30,bmoore@susquehanna-waterauthority.com,Email PDF,5587.73
ACK-SO-26046,SO-26046,2025-06-15,srodriguez@tricounty-poultry.com,EDI 855,22524.57
ACK-SO-26047,SO-26047,2025-05-26,lsmith@cardinal-poultry.com,Email PDF,18657.25
ACK-SO-26048,SO-26048,2026-03-27,fyoung@allegheny-climate.com,EDI 855,8128.72
ACK-SO-26049,SO-26049,2025-05-21,mthomas@summit-foods.com,Email PDF,1352.51
ACK-SO-26050,SO-26050,2025-05-06,tthompson@blue-poultry.com,Email PDF,1371.74
ACK-SO-26051,SO-26051,2025-05-04,smartinez@rock-plastics.com,EDI 855,15756.07
ACK-SO-26052,SO-26052,2025-04-17,bmoore@susquehanna-waterauthority.com,Email PDF,5262.47
ACK-SO-26053,SO-26053,2026-03-03,dthompson@tricounty-chemical.com,Email PDF,1185.82
ACK-SO-26054,SO-26054,2025-12-23,aking@pioneer-lumber.com,EDI 855,11547.37
ACK-SO-26055,SO-26055,2026-02-22,twright@allegheny-foods.com,Email PDF,9207.4
ACK-SO-26056,SO-26056,2025-11-26,aclark@keystone-chemical.com,Email PDF,19847.71
ACK-SO-26057,SO-26057,2025-04-11,dthompson@tricounty-chemical.com,EDI 855,2203.69
ACK-SO-26058,SO-26058,2025-09-03,mharris@rock-steel.com,Email PDF,16458.48
ACK-SO-26059,SO-26059,2025-07-01,kanderson@fox-paper.com,Email PDF,8000.66
ACK-SO-26060,SO-26060,2025-11-17,pwalker@cumberland-materials.com,Email PDF,4143.24
ACK-SO-26061,SO-26061,2026-01-17,pnguyen@prairie-climate.com,Email PDF,14869.49
ACK-SO-26062,SO-26062,2025-04-07,kanderson@fox-paper.com,Email PDF,22017.3
ACK-SO-26063,SO-26063,2026-02-27,dthompson@tricounty-chemical.com,Email PDF,6243.35
ACK-SO-26064,SO-26064,2026-03-14,aclark@keystone-chemical.com,Email PDF,9171.89
ACK-SO-26065,SO-26065,2025-07-14,mtaylor@lehigh-paper.com,Email PDF,2551.2
ACK-SO-26066,SO-26066,2025-07-10,pwalker@cumberland-materials.com,Email PDF,10211.64
ACK-SO-26067,SO-26067,2025-09-13,epatel@rock-plastics.com,Email PDF,9941.61
ACK-SO-26068,SO-26068,2026-01-01,sdelgado@rock-waterauthority.com,Email PDF,8754.25
ACK-SO-26069,SO-26069,2025-08-28,dmartin@riverbend-conveyor.com,EDI 855,5419.04
ACK-SO-26070,SO-26070,2026-03-19,jmoore@appalachian-lumber.com,Email PDF,2559.16
ACK-SO-26071,SO-26071,2025-11-06,pnguyen@rock-steel.com,Email PDF,6689.26
ACK-SO-26072,SO-26072,2025-11-04,lthompson@iron-chemical.com,EDI 855,608.43
ACK-SO-26073,SO-26073,2025-12-18,wbrown@midwest-climate.com,EDI 855,12645.98
ACK-SO-26074,SO-26074,2025-11-10,skowalski@midwest-climate.com,Email PDF,6146.87
ACK-SO-26075,SO-26075,2025-04-14,pnguyen@rock-steel.com,EDI 855,15342.32
ACK-SO-26076,SO-26076,2026-03-23,fyoung@allegheny-climate.com,Email PDF,127.81
ACK-SO-26077,SO-26077,2025-12-17,gmartin@cardinal-lumber.com,Email PDF,8972.7
ACK-SO-26078,SO-26078,2026-03-04,dmartin@riverbend-conveyor.com,Email PDF,16498.59
ACK-SO-26079,SO-26079,2025-04-27,gthompson@iron-conveyor.com,EDI 855,5414.67
ACK-SO-26080,SO-26080,2025-09-02,fallen@great-lumber.com,EDI 855,3189.53
ACK-SO-26081,SO-26081,2026-03-21,twilson@tricounty-poultry.com,EDI 855,8991.62
ACK-SO-26082,SO-26082,2025-05-22,bwilson@iron-conveyor.com,Email PDF,4554.56
ACK-SO-26083,SO-26083,2025-11-13,eking@summit-conveyor.com,Email PDF,29333.59
ACK-SO-26084,SO-26084,2025-10-01,syoung@blue-lumber.com,EDI 855,6270.44
ACK-SO-26085,SO-26085,2025-07-11,spatel@midwest-agequipment.com,Email PDF,12233.29
ACK-SO-26086,SO-26086,2026-02-14,gthompson@iron-conveyor.com,Email PDF,13978.94
ACK-SO-26087,SO-26087,2025-04-20,grobinson@iron-chemical.com,Email PDF,17807.08
ACK-SO-26088,SO-26088,2025-05-30,smartinez@rock-plastics.com,EDI 855,14876.03
ACK-SO-26089,SO-26089,2025-09-13,lsmith@cardinal-poultry.com,Email PDF,1054.0
ACK-SO-26090,SO-26090,2025-06-01,pwilliams@iron-chemical.com,Email PDF,27832.59
ACK-SO-26091,SO-26091,2025-04-30,jwhite@rock-steel.com,Email PDF,6388.9
ACK-SO-26092,SO-26092,2026-03-26,skowalski@midwest-climate.com,Email PDF,5374.95
ACK-SO-26093,SO-26093,2026-02-20,bschneider@pioneer-paper.com,Email PDF,22411.99
ACK-SO-26094,SO-26094,2025-05-06,ddelgado@prairie-poultry.com,Email PDF,7911.3
ACK-SO-26095,SO-26095,2025-07-17,fallen@great-lumber.com,EDI 855,5968.78
ACK-SO-26096,SO-26096,2026-03-12,mrobinson@summit-foods.com,Email PDF,5998.29
ACK-SO-26097,SO-26097,2025-11-28,jbrown@fox-lumber.com,Email PDF,10292.54
ACK-SO-26098,SO-26098,2025-10-03,tthompson@blue-poultry.com,EDI 855,21084.46
ACK-SO-26099,SO-26099,2026-01-31,fallen@great-lumber.com,Email PDF,792.5
ACK-SO-26100,SO-26100,2025-07-30,fyoung@allegheny-climate.com,Email PDF,2120.77
ACK-SO-26101,SO-26101,2025-07-24,dthompson@tricounty-chemical.com,Email PDF,2030.52
