rfq_id,customer_id,received_date,channel,requested_by,due_date,assigned_to,status
NIC-RFQ0001,NIC-CUST0013,2025-07-23,Phone,Elizabeth Thompson,2025-07-30,E064,Quoted
NIC-RFQ0002,NIC-CUST0001,2025-06-13,Email,Paul Williams,2025-06-20,E075,Quoted
NIC-RFQ0003,NIC-CUST0011,2025-07-19,EDI 840,Paul Walker,2025-07-23,E066,Quoted
NIC-RFQ0004,NIC-CUST0034,2025-04-24,EDI 840,Linda Smith,2025-04-29,E074,Quoted
NIC-RFQ0005,NIC-CUST0010,2025-11-15,EDI 840,Andrew King,2025-11-18,E074,Quoted
NIC-RFQ0006,NIC-CUST0009,2025-06-30,Email,Steven Lopez,2025-07-07,E067,Quoted
NIC-RFQ0007,NIC-CUST0021,2025-08-11,Phone,Brian Schneider,2025-08-15,E074,Quoted
NIC-RFQ0008,NIC-CUST0006,2025-08-03,Email,Donna Delgado,2025-08-08,E074,Quoted
NIC-RFQ0009,NIC-CUST0026,2025-07-01,Phone,Karen Anderson,2025-07-09,E065,Quoted
NIC-RFQ0010,NIC-CUST0001,2025-06-22,EDI 840,Paul Williams,2025-06-25,E073,Quoted
NIC-RFQ0011,NIC-CUST0015,2025-09-11,Portal,Brian Wilson,2025-09-18,E073,Quoted
NIC-RFQ0012,NIC-CUST0003,2026-03-10,Portal,William O'Brien,2026-03-16,E068,Quoted
NIC-RFQ0013,NIC-CUST0011,2026-01-10,Email,Paul Walker,2026-01-15,E075,Quoted
NIC-RFQ0014,NIC-CUST0008,2026-03-03,Portal,Joseph Miller,2026-03-07,E065,Quoted
NIC-RFQ0015,NIC-CUST0024,2025-11-28,EDI 840,Sandra Rodriguez,2025-12-02,E074,Quoted
NIC-RFQ0016,NIC-CUST0017,2025-08-12,Email,Jessica Harris,2025-08-17,E064,Quoted
NIC-RFQ0017,NIC-CUST0033,2025-08-27,EDI 840,Sarah Patel,2025-08-28,E074,Quoted
NIC-RFQ0018,NIC-CUST0009,2025-12-21,Portal,Steven Lopez,2025-12-27,E074,Quoted
NIC-RFQ0019,NIC-CUST0029,2025-12-11,Phone,Fatima Allen,2025-12-13,E074,Quoted
NIC-RFQ0020,NIC-CUST0018,2025-11-22,Phone,Michael Thomas,2025-11-25,E073,Quoted
NIC-RFQ0021,NIC-CUST0020,2026-03-02,Phone,Thomas Thompson,2026-03-07,E066,Quoted
