shipment_id,delivered_date,signed_by,exceptions,source
SH-50001,2025-09-08,J. Williams,1 carton damaged,Driver app
SH-50002,2025-07-09,J. Fitzgerald,,Carrier API
SH-50003,2025-08-24,J. Martin,,Scanned POD
SH-50004,2025-08-29,H. Wilson,1 carton damaged,Carrier API
SH-50006,2025-12-27,D. Young,,Driver app
SH-50007,2025-10-20,W. Wright,,Carrier API
SH-50008,2025-10-08,W. Allen,,Driver app
SH-50009,2026-01-03,A. Johnson,Short 1 carton,Scanned POD
SH-50010,2025-08-11,S. Young,1 carton damaged,Carrier API
SH-50011,2025-07-29,D. Kowalski,,Driver app
SH-50012,2025-09-26,J. Garcia,,Driver app
SH-50013,2025-05-28,D. Martin,Short 1 carton,Scanned POD
SH-50015,2025-06-30,B. Wright,1 carton damaged,Carrier API
SH-50016,2026-01-05,P. Davis,,Carrier API
SH-50017,2025-08-30,L. Thomas,Short 1 carton,Driver app
SH-50018,2025-07-17,D. Allen,Short 1 carton,Driver app
SH-50019,2025-08-05,J. Taylor,,Carrier API
SH-50020,2025-10-21,E. Lopez,Short 1 carton,Scanned POD
SH-50021,2025-11-26,S. Fitzgerald,,Carrier API
SH-50022,2025-08-03,L. Thomas,,Carrier API
SH-50024,2026-02-03,E. Lee,,Carrier API
SH-50025,2026-02-14,A. Kowalski,Short 1 carton,Scanned POD
SH-50026,2026-03-30,D. Robinson,1 carton damaged,Carrier API
SH-50028,2025-12-16,O. Walker,Short 1 carton,Driver app
SH-50030,2025-09-22,S. Thomas,,Carrier API
SH-50032,2025-07-05,E. White,,Scanned POD
SH-50033,2025-05-19,S. Lopez,1 carton damaged,Driver app
SH-50034,2026-02-07,A. Moore,,Driver app
SH-50035,2025-09-19,W. Brown,,Scanned POD
SH-50036,2026-01-03,M. Kowalski,1 carton damaged,Scanned POD
SH-50038,2026-01-01,L. Nakamura,,Scanned POD
SH-50039,2026-01-11,A. Nakamura,1 carton damaged,Scanned POD
SH-50040,2026-03-30,W. Choi,,Carrier API
SH-50041,2025-11-14,K. Martin,,Driver app
SH-50043,2025-07-03,L. Martin,Short 1 carton,Driver app
SH-50044,2025-06-22,S. Jones,,Carrier API
SH-50045,2025-06-22,K. Martinez,,Scanned POD
SH-50046,2025-05-30,J. Rodriguez,Short 1 carton,Carrier API
SH-50047,2025-05-30,D. Kowalski,,Scanned POD
SH-50048,2025-05-17,J. Wilson,,Scanned POD
SH-50049,2026-03-09,D. Allen,,Carrier API
SH-50051,2026-03-19,K. Anderson,Short 1 carton,Driver app
SH-50052,2025-12-20,M. Lee,,Driver app
SH-50054,2025-10-01,O. Scott,,Carrier API
SH-50055,2025-07-28,B. Jackson,1 carton damaged,Driver app
SH-50056,2025-12-11,P. Kowalski,,Carrier API
SH-50057,2026-02-16,E. Taylor,1 carton damaged,Carrier API
SH-50059,2026-03-31,R. Lewis,,Carrier API
SH-50060,2026-03-23,K. Nguyen,Short 1 carton,Driver app
