PAY_DATE,EMPLOYEE_ID,EMPLOYEE_NAME,GROSS_PAY,COMMISSION_BONUS,FEDERAL_WITHHOLDIN,STATE_WITHHOLDING,FICA,401K_EMPLOYEE,HEALTH_PREMIUM_EMP,NET_PAY
15-Oct-2025,E001,Sandra Wright,3458.33,0,553.33,155.62,264.56,0.0,310.0,2174.82
2025-10-31,E001,Sandra Wright,3458.33,1828,553.33,155.62,264.56,103.75,$310.00,3899.07
2025-10-15,E002,Aisha Davis,5041.67,$0.00,806.67,226.88,385.69,0.0,310.0,3312.43
10/31/25,E002,Aisha Davis,5041.67,"$3,682.00",806.67,226.88,385.69,0.0,$142.50,7161.93
2025-10-15,E003,Patricia O'Brien,3708.33,0,593.33,166.87,283.69,222.5,$0.00 ,2441.94
"Oct 31, 2025",E003,Patricia O'Brien,3708.33,480,593.33,166.87,283.69,0.0,$0.00,3144.44
15-Oct-2025,E004,David Walker,2458.33,0,393.33,110.62,188.06,0.0,$0.00,1766.32
31-Oct-2025,E004,David Walker,2458.33,0,393.33,110.62,188.06,147.5,142.5,1476.32
10/15/2025,E005,Daniel Martin,3125.0,$0.00,500.0,140.62,239.06,187.5,485.0,1572.82
2025-10-31,E005,Daniel Martin,3125.0,0,500.0,140.62,239.06,93.75,310.0,1841.57
2025-10-15,E006,Michael Wright,2291.67,0,366.67,103.13,175.31,0.0,142.5,1504.06
31-Oct-2025,E006,Michael Wright,2291.67,$0.00 ,366.67,103.13,175.31,114.58,0,1531.98
10/15/2025,E007,RICHARD WILSON,4583.33,0,733.33,206.25,350.62,0.0,310.0,2983.13
2025-10-31,E007,Richard Wilson,4583.33,$0.00 ,733.33,206.25,350.62,229.17,0,3063.96
2025-10-15,E008,Emily Thompson,2250.0,0,360.0,101.25,172.12,67.5,310.0,1239.13
10/31/25,E008,Emily Thompson,2250.0,0,360.0,101.25,172.12,0.0,$485.00,1131.63
2025-10-15,E009,David Fitzgerald,2916.67,0,466.67,131.25,223.13,145.83,$142.50,1807.29
2025-10-31,E009,David Fitzgerald,2916.67,0,466.67,131.25,223.13,0.0,$310.00,1785.62
2025-10-15,E010,Carlos Jackson,7750.0,$0.00,1240.0,348.75,592.88,0.0,0,5568.37
2025-10-31,E010,Carlos Jackson,7750.0,$0.00,1240.0,348.75,592.88,0.0,0,5568.37
2025-10-15,E011,Joseph White,2250.0,$0.00,360.0,101.25,172.12,67.5,485.0,1064.13
2025-10-31,,Joseph White,2250.0,$0.00,360.0,101.25,172.12,112.5,$0.00,1504.13
2025-10-15,E012,Matthew Hernandez,,,300.0,84.38,143.44,0.0,$0.00,1347.18
2025-10-31,E012,Matthew Hernandez,1875.0,0,300.0,84.38,143.44,93.75,$310.00,943.43
2025-11-15,E001,Sandra Wright,3458.33,0,553.33,155.62,264.56,172.92,142.5,2169.4
"Nov 30, 2025",E001,Sandra Wright,3458.33,75,553.33,155.62,264.56,172.92,310.0,2076.9
2025-11-15,E002,Aisha Davis,5041.67,0,806.67,226.88,385.69,302.5,485.0,2834.93
2026-03-15,E008,Emily Thompson,2250.0,$0.00,360.0,101.25,172.12,135.0,,1171.63
"Nov 30, 2025",E002,Aisha Davis,5041.67,"$3,352.00",806.67,226.88,385.69,151.25,$485.00,6338.18
2025-11-15,E003,Patricia O'Brien,3708.33,0,593.33,166.87,283.69,0.0,310.0,2354.44
2025-11-30,E003,Patricia O'Brien,3708.33,"$1,408.00",593.33,166.87,283.69,0.0,$310.00,3762.44
15-Nov-2025,E004,David Walker,2458.33,$0.00,393.33,110.62,188.06,147.5,$485.00,1133.82
2025-11-30,E004,DAVID WALKER,2458.33,$0.00,393.33,110.62,188.06,122.92,0,1643.4
11/15/2025,E005,Daniel Martin ,3125.0,0,500.0,140.62,239.06,156.25,$0.00,2089.07
2025-11-30,E005,Daniel Martin,3125.0,0,500.0,140.62,239.06,156.25,$0.00,2089.07
11/15/2025,E006,Michael Wright,2291.67,0,366.67,103.13,175.31,0.0,485.0,1161.56
2025-11-30,E006,Michael Wright,2291.67,0,366.67,103.13,175.31,137.5,142.5,1366.56
11/15/2025,E007,Richard Wilson,4583.33,0,733.33,206.25,350.62,229.17,485.0,2578.96
2025-11-30,E007,Richard Wilson,4583.33,$0.00,733.33,206.25,350.62,0.0,485.0,2808.13
2025-11-15,E008,Emily Thompson,2250.0,$0.00,360.0,101.25,172.12,112.5,485.0,1019.13
2026-02-28,E012,Matthew Hernandez,1875.0,0,300.0,84.38,143.44,56.25,$310.00,980.93
30-Nov-2025,E008,Emily Thompson,2250.0,0,360.0,101.25,172.12,0.0,142.5,1474.13
11/15/2025 ,E009,David Fitzgerald,2916.67,0,466.67,131.25,223.13,145.83,0,1949.79
2025-11-30,E009 ,David Fitzgerald,2916.67,0,466.67,131.25,223.13,175.0,$142.50,1778.12
2025-11-15,E010,Carlos Jackson,7750.0,0,1240.0,348.75,592.88,0.0,0,5568.37
2025-11-30,,Carlos Jackson,7750.0,$0.00,1240.0,348.75,592.88,232.5,142.5,5193.37
15-Nov-2025,E011,Joseph White,2250.0,0,360.0,101.25,172.12,112.5,0,1504.13
30-Nov-2025,E011,Joseph White,2250.0,0,360.0,101.25,172.12,112.5,0,1504.13
2025-11-15,E012,Matthew Hernandez,1875.0,$0.00,300.0,84.38,143.44,56.25,$142.50,1148.43
11/30/2025,E012,Matthew Hernandez,1875.0,0,300.0,84.38,143.44,0.0,$0.00,1347.18
2025-12-15,E001,Sandra Wright,3458.33,0,553.33,155.62,264.56,207.5,$310.00,
2025-12-31,E001,Sandra Wright,3458.33,2476,553.33,155.62,264.56,172.92,485.0,4302.9
"Dec 15, 2025",E002,Aisha Davis,5041.67,$0.00,806.67,226.88,385.69,0.0,$142.50,3479.93
2025-12-31,E002,Aisha Davis,5041.67,"$3,954.00",806.67,226.88,385.69,252.08,142.5,7181.85
12/15/25,E003,Patricia O'Brien,3708.33,$0.00 ,593.33,166.87,283.69,185.42,$310.00,2169.02
2025-12-31,E003,Patricia O'Brien,3708.33,2438,593.33,166.87,283.69,111.25,142.5,4848.69
12/15/25,E004,David Walker,,0,393.33,110.62,188.06,0.0,$142.50,1623.82
"Dec 31, 2025",E004,David Walker,2458.33,0,393.33,110.62,188.06,73.75,$485.00,1207.57
15-Dec-2025,E005,Daniel Martin,3125.0,0,500.0,140.62,239.06,187.5,142.5,1915.32
2025-12-31,E005,Daniel Martin,3125.0,0,500.0,140.62,239.06,0.0,142.5,2102.82
2025-12-15,E006,Michael Wright,2291.67,$0.00,366.67,103.13,175.31,68.75,142.5,1435.31
12/31/25,E006,Michael Wright,2291.67,0,366.67,103.13,175.31,137.5,310.0,1199.06
12/15/25,E007,Richard Wilson,4583.33,0,733.33,206.25,350.62,229.17,$142.50,2921.46
"Dec 31, 2025",E007,Richard Wilson,4583.33,0,733.33,206.25,350.62,275.0,$0.00,3018.13
2025-12-15,E008,Emily Thompson,2250.0,$0.00,360.0,101.25,172.12,135.0,$0.00,1481.63
2025-12-31,E008,Emily Thompson,2250.0,0,360.0,101.25,172.12,,$142.50,1361.63
15-Dec-2025,E009,David Fitzgerald,2916.67,$0.00,466.67,131.25,223.13,145.83,142.5,1807.29
2025-12-31,E009,David Fitzgerald,2916.67,0,466.67,131.25,223.13,175.0,142.5,1778.12
2025-12-15,E010,Carlos Jackson,7750.0,$0.00,1240.0,348.75,592.88,0.0,485.0,5083.37
12/31/25,E010,Carlos Jackson,7750.0,0,1240.0,348.75,592.88,465.0,310.0,4793.37
12/15/2025,E011,Joseph White,2250.0,$0.00,360.0,101.25,172.12,112.5,142.5,1361.63
2025-12-31,E011,Joseph White ,2250.0,$0.00,360.0,101.25,172.12,0.0,$0.00,1616.63
2025-12-15,E012,Matthew Hernandez,1875.0,0,300.0,84.38,143.44,112.5,0,1234.68
2025-12-31,E012,Matthew Hernandez,1875.0,0,300.0,84.38,143.44,0.0,$310.00,1037.18
"Jan 15, 2026",E001,Sandra Wright,3458.33,$0.00,553.33,155.62,264.56,103.75,485.0,1896.07
2026-01-31,E001,Sandra Wright,3458.33,"$2,718.00",553.33,155.62,264.56,0.0,$0.00,5202.82
2026-01-15,E002,Aisha Davis ,5041.67,$0.00 ,806.67,226.88,385.69,252.08,0,3370.35
2026-01-31,E002,Aisha Davis,5041.67,2226,806.67,226.88,385.69,0.0,$142.50,5705.93
2026-01-15,E003,Patricia O'Brien,3708.33,0,593.33,166.87,283.69,0.0,310.0,2354.44
01/31/2026,E003,Patricia O'Brien,3708.33,3231,593.33,166.87,283.69,185.42,310.0,5400.02
2026-01-15,E004,David Walker,2458.33,$0.00,393.33,110.62,188.06,0.0,310.0,1456.32
"Jan 31, 2026 ",E004,David Walker,2458.33,0,393.33,110.62,188.06,122.92,485.0,1158.4
15-Feb-2026,E010,Carlos Jackson,7750.0,$0.00,1240.0,348.75,592.88,232.5,142.5,5193.37
2026-01-15,E005,Daniel Martin,3125.0,$0.00,500.0,140.62,239.06,93.75,485.0,1666.57
2026-01-31,E005,Daniel Martin,3125.0,$0.00,500.0,140.62,239.06,93.75,0,2151.57
15-Jan-2026,E006,Michael Wright,2291.67,0,366.67,103.13,175.31,137.5,310.0,1199.06
01/31/26,E006,Michael Wright,2291.67,0,366.67,103.13,175.31,137.5,$0.00,1509.06
2026-01-15,E007,Richard Wilson,4583.33,0,733.33,206.25,350.62,229.17,142.5,2921.46
2026-01-31,E007 ,Richard Wilson,4583.33,$0.00 ,733.33,206.25,350.62,275.0,$310.00,2708.13
2026-01-15,E008,EMILY THOMPSON,2250.0,0,360.0,101.25,172.12,112.5,142.5,1361.63
2026-01-31,E008,Emily Thompson,2250.0,$0.00,360.0,101.25,172.12,67.5,142.5,1406.63
2026-01-15,E009,David Fitzgerald,2916.67,0,466.67,131.25,223.13,145.83,$485.00,1464.79
"Jan 31, 2026",E009,David Fitzgerald,2916.67,$0.00,466.67,131.25,223.13,87.5,$142.50,1865.62
2026-01-15 ,E010,Carlos Jackson,7750.0,0,1240.0,348.75,592.88,232.5,$485.00,4850.87
2026-01-31,E010,CARLOS JACKSON,7750.0,0,1240.0,348.75,592.88,232.5,485.0,4850.87
2026-03-15,E006,MICHAEL WRIGHT,2291.67,$0.00,366.67,103.13,175.31,68.75,$310.00,1267.81
01/15/2026,E011,Joseph White,2250.0,0,360.0,101.25,172.12,112.5,485.0,1019.13
2026-01-31,E011,Joseph White,2250.0,$0.00,360.0,101.25,172.12,67.5,$0.00,1549.13
2026-01-15,E012,Matthew Hernandez,1875.0,$0.00,300.0,84.38,143.44,56.25,310.0,980.93
01/31/26,E012,Matthew Hernandez,1875.0,0,300.0,84.38,143.44,0.0,$310.00,1037.18
02/15/26,,Sandra Wright,3458.33,$0.00,553.33,155.62,264.56,103.75,310.0,2071.07
2026-02-28,E001,Sandra Wright,3458.33,2801,553.33,155.62,264.56,103.75,310.0,4872.07
15-Feb-2026,E002,Aisha Davis,5041.67,0,806.67,226.88,385.69,0.0,142.5,3479.93
02/28/2026,E002,Aisha Davis ,5041.67,$172.00,806.67,226.88,385.69,0.0,142.5,3651.93
2026-02-15,E003,Patricia O'Brien,3708.33,$0.00,593.33,166.87,283.69,0.0,485.0,2179.44
2026-02-28,E003,Patricia O'Brien,3708.33,$691.00,593.33,166.87,283.69,111.25,310.0,2934.19
2026-02-15,E004 ,David Walker,2458.33,0,393.33,110.62,188.06,0.0,0,1766.32
2026-02-28,E004,David Walker,2458.33,$0.00,393.33,110.62,188.06,147.5,142.5,
2026-02-15,E005,Daniel Martin,3125.0,$0.00,500.0,140.62,239.06,187.5,$310.00,1747.82
2026-02-28,E005,Daniel Martin,3125.0,$0.00,500.0,140.62,239.06,156.25,485.0,1604.07
02/15/2026,E006,Michael Wright ,2291.67,$0.00,366.67,103.13,175.31,114.58,485.0,1046.98
2026-02-28,E006,Michael Wright,2291.67,$0.00,366.67,103.13,175.31,0.0,$310.00,1336.56
02/15/26,E007,Richard Wilson,4583.33,0,733.33,206.25,350.62,137.5,$485.00,2670.63
02/28/26,E007,Richard Wilson,4583.33,0,733.33,206.25,350.62,0.0,142.5,3150.63
2026-02-15,E008,Emily Thompson,2250.0,0,360.0,101.25,172.12,112.5,485.0,1019.13
02/28/2026,E008,Emily Thompson ,2250.0,$0.00,360.0,101.25,172.12,67.5,0,1549.13
15-FEB-2026,E009,David Fitzgerald,2916.67,0,466.67,131.25,223.13,175.0,310.0,1610.62
02/28/2026,E009,David Fitzgerald,2916.67,0,466.67,131.25,223.13,175.0,$310.00,1610.62
15-Feb-2026,E010,Carlos Jackson,7750.0,$0.00,1240.0,348.75,592.88,232.5,142.5,5193.37
2026-02-28,E010,Carlos Jackson,7750.0,$0.00,1240.0,348.75,592.88,465.0,485.0,4618.37
"Feb 15, 2026",E011,Joseph White,2250.0,0,360.0,101.25,172.12,135.0,0,1481.63
02/28/26,E011,Joseph White,2250.0,0,360.0,101.25,172.12,112.5,0,1504.13
2026-02-15,E012,Matthew Hernandez,1875.0,$0.00,300.0,84.38,143.44,0.0,$0.00,1347.18
2026-02-28,E012,Matthew Hernandez,1875.0,0,300.0,84.38,143.44,56.25,$310.00,980.93
15-Mar-2026,E001,Sandra Wright,3458.33,0,553.33,155.62,264.56,172.92,310.0,2001.9
