Driver Id,Policy Id,Client Id,Driver Name,Date Of Birth,License State,License Number,Cdl,Years Experience,Mvr Date,Violations 3Yr,Accidents 3Yr
HAR-P00005-D01,HAR-P00005,HAR-C0002,Andrew Wilson,1994-01-22,FL,FL12226391 ,N,33,2026-02-05,2,0
HAR-P00005-D02,HAR-P00005,HAR-C0002,Anthony Williams,1980-11-12,FL,FL83038882,N,7,2025-07-10,1,0
HAR-P00005-D03,HAR-P00005,HAR-C0002,James Young,1979-10-16,FL,FL81781698,N,4,2026-02-18,0,0
HAR-P00005-D04 ,HAR-P00005,HAR-C0002,Sandra Wilson,1976-10-05,FL,FL11826432,N,1,04-Jul-2025,0,0
HAR-P00008-D01,HAR-P00008,HAR-C0003,William Lee,1961-07-25,FL,FL17929801,N,5,2025-02-17,2,0
HAR-P00008-D02,HAR-P00008,HAR-C0003,Thomas Allen,1969-09-14,FL,FL11615033,N,12,2025-08-26,2,0
HAR-P00008-D03,HAR-P00008,HAR-C0003,Richard Kowalski,1992-11-16,FL,FL79258914,N,18,"May 21, 2025",0,0
HAR-P00008-D04,HAR-P00008,HAR-C0003,Elizabeth Taylor,1982-10-17,FL,FL83289956,N,19,2025-12-23,0,1
HAR-P00021-D01,HAR-P00021,HAR-C0007,Fatima Davis,1990-03-28,FL,FL50934584,N,35,2025-06-11,0,0
HAR-P00021-D02,HAR-P00021,HAR-C0007,Brian Anderson,1973-11-21,FL,FL60851968,N,17,2025-01-14,0,0
HAR-P00021-D03,HAR-P00021,HAR-C0007,Nancy Smith,1993-01-26,FL,FL45674411,N,8,2025-03-15,0,0
HAR-P00024-D01,HAR-P00024,HAR-C0008,Karen Martinez,1986-10-16,FL,FL62575557,N,8,2025-01-25,1,0
HAR-P00035-D01,HAR-P00035,HAR-C0011,Brian Thomas,1968-11-01,FL ,FL62714898,N,9,2025-09-12,1,0
HAR-P00035-D02,HAR-P00035,HAR-C0011,Karen King,1998-04-27,FL,FL68178536,N,16,2025-12-25,0,0
HAR-P00035-D03,HAR-P00035,HAR-C0011,Grace Garcia,1985-07-15,FL,FL57888835,N,8,2025-01-25,0,0
HAR-P00035-D04,HAR-P00035,HAR-C0011,Thomas Lopez,1978-02-24,FL,FL63396573,N,8,2026-03-15,0,0
HAR-P00047-D01,HAR-P00047,HAR-C0015,Jessica Scott,1995-01-22,FL,FL19850423,N,7,2025-04-21,2,1
HAR-P00047-D02,HAR-P00047,HAR-C0015,Elizabeth Jones,1988-01-25,FL,FL63466352,N,24,2025-05-17,2,0
HAR-P00047-D03,HAR-P00047,HAR-C0015,William Garcia,1974-02-12,FL,FL74783385,N,6,2026-01-30,1,0
HAR-P00047-D04,HAR-P00047,HAR-C0015,Linda Delgado,1997-08-15,FL,FL41673050,N,21,21-Mar-2026,0,0
HAR-P00047-D05,HAR-P00047,HAR-C0015,Grace Jones,1991-04-22 ,FL,FL93011232 ,N,29,02-Dec-2025,0,0
HAR-P00047-D06,HAR-P00047,HAR-C0015,Patricia Wright,1961-11-27,FL,FL48547026,N,5,2026-01-31,0,1
HAR-P00051-D01,HAR-P00051,HAR-C0016,Patricia Scott,1977-10-05,FL,FL95379208,N,17,31-Mar-2026,0,1
HAR-P00051-D02,HAR-P00051,HAR-C0016,Daniel Jones,1996-04-26,FL,FL44953039,N,1,2025-12-08,0,0
HAR-P00051-D03,HAR-P00051,HAR-C0016,Aisha Lopez,1998-05-02,FL,FL81044807,N,9,2025-04-25,1,0
HAR-P00051-D04,HAR-P00051,HAR-C0016,Emily O'Brien,1979-05-05,FL,FL28537733,N,16,2025-11-08,2,0
HAR-P00051-D05,HAR-P00051,HAR-C0016,Andrew Jackson,1995-09-12,FL,FL63084881,N,9,2025-03-21,0,0
HAR-P00051-D06,HAR-P00051,HAR-C0016,Susan Brown,1973-05-26,FL,FL70323904,N,18,2025-09-29,0,0
HAR-P00051-D07,HAR-P00051,HAR-C0016,Patricia Rodriguez,1985-10-03,FL,FL19589465,N,4,2025-12-11,1,0
HAR-P00070-D01,HAR-P00070,HAR-C0021,Karen Nakamura,1980-08-24,FL,FL97602670,N,14,2025-06-19,2,0
HAR-P00070-D02,HAR-P00070,HAR-C0021,Aisha Allen,1974-01-14,FL,FL99256297,N,24,2025-05-05,1,0
HAR-P00070-D03,HAR-P00070,HAR-C0021,Fatima Wright,1961-10-23,FL,FL86396065,N,30,2025-05-21,1,0
