Policy Id,Producer Id,Producer Name,Agency Commission,Producer Split Pct,Producer Commission,House Commission,Payable Month,Paid
HAR-P00001,E001,Betty Rodriguez,6632.73,25,1658.18,4974.55,2025-04,Y
HAR-P00002,E001,Betty Rodriguez,12202.19,25,3050.55,9151.64,2026-03,N
HAR-P00003,E004,Priya Martinez,6620.74,30,1986.22,4634.52,2026-01,Y
HAR-P00004,E004,Priya Martinez,8748.9,25,2187.22,6561.67,2026-02,N
HAR-P00005,E004,Priya Martinez,10002.72,25,2500.68,7502.04,2025-08,Y
HAR-P00006,E004,Priya Martinez,1019.2,25,254.8,764.4,2025-09,Y
HAR-P00007,E001,Betty Rodriguez,3971.89,25,992.97,2978.92,2025-09,Y
HAR-P00008,E001,Betty Rodriguez,1821.84,25,455.46,1366.38,2026-01,Y
HAR-P00009,E001,Betty Rodriguez,1979.4,20,395.88,1583.52,2025-10,Y
HAR-P00010,E001,Betty Rodriguez,1093.25,25,273.31,819.94,2026-02,N
HAR-P00011,E001,Betty Rodriguez,2865.98,25,716.5,2149.49,2026-03,N
HAR-P00012,E001,Betty Rodriguez,591.62,30,177.49,414.13,2025-07,Y
HAR-P00013,E001,Betty Rodriguez,12101.53,30,3630.46,8471.07,2026-03,N
HAR-P00014,E002,Nancy Scott,466.1,20,93.22,372.88,2026-03,N
HAR-P00015,E002,Nancy Scott,11229.02,25,2807.26,8421.76,2025-09,Y
HAR-P00016,E004,Priya Martinez,4729.34,30,1418.8,3310.54,2025-10,Y
HAR-P00017,E004,Priya Martinez,8592.89,40,3437.16,5155.73,2025-04,Y
HAR-P00018,E002,Nancy Scott,1512.84,20,302.57,1210.27,2026-01,Y
HAR-P00019,E002 ,Nancy Scott,9413.5,20,1882.7,7530.8,2025-11,Y
HAR-P00020,E002,Nancy Scott,1936.44,30,580.93,1355.51,2026-02,Y
HAR-P00021,E002,Nancy Scott ,11946.6,30,3583.98,8362.62,2025-08,Y
HAR-P00022,E004 ,Priya Martinez,8486.75,20,1697.35,6789.4,2025-10,Y
HAR-P00023,E004,Priya Martinez,7647.62,30,2294.29,5353.33,2025-12,Y
HAR-P00024,E004,Priya Martinez,4966.9,30,1490.07,3476.83,2025-05,Y
HAR-P00025,E004,Priya Martinez,12131.13,25,3032.78,9098.35,2026-02,Y
HAR-P00026,E005,Priya Garcia,988.75,20,197.75,791.0,2025-07,Y
HAR-P00027,E005,Priya Garcia,6486.25,20,1297.25,5189.0,2025-08,Y
HAR-P00028,E005,Priya Garcia ,2800.62,25,700.15,2100.47,2026-01,Y
HAR-P00029,E005,Priya Garcia,19066.05,30,5719.81,13346.23,2025-11,Y
HAR-P00030,E003,Matthew Choi,3057.75,25,764.44,2293.31,2025-11,Y
HAR-P00031,E003,Matthew Choi,610.56,20,122.11,488.45,2025-05,Y
HAR-P00032,E003,Matthew Choi,2408.28,30,722.48,1685.8,2025-08,Y
HAR-P00033,E003,Matthew Choi ,4045.92,30,1213.78,2832.14,2026-02,N
HAR-P00034,E003,Matthew Choi,12234.42,25,3058.61,9175.82,2026-01,Y
HAR-P00035,E003,Matthew Choi,6053.45,25,1513.36,4540.09,2026-02,Y
HAR-P00036,E003,Matthew Choi,2893.28,20,578.66,2314.62,2025-11,Y
HAR-P00037,E002,Nancy Scott,7600.68,25,1900.17,5700.51,2026-01,Y
HAR-P00038,E002,Nancy Scott,2643.0,40,1057.2,1585.8,2025-10,Y
HAR-P00039,E002,Nancy Scott,4614.96,25,1153.74,3461.22,2025-09,Y
HAR-P00040,E004,Priya Martinez,10580.92,20,2116.18,8464.74,2025-04,Y
HAR-P00041,E004,Priya Martinez,1497.88,20,299.58,1198.3,2025-07,Y
HAR-P00042,E004,Priya Martinez,2302.17,25,575.54,1726.63,2025-06,Y
HAR-P00043,E005,Priya Garcia,1380.38,25,345.1,1035.29,2025-09,Y
HAR-P00044,E005,Priya Garcia,5830.08,25,1457.52,4372.56,2026-03,N
HAR-P00045,E005,Priya Garcia,8487.78,20,1697.56,6790.22,2025-11,Y
HAR-P00046,E005,Priya Garcia,14357.6,20,2871.52,11486.08,2025-11,Y
HAR-P00047,E005,Priya Garcia,5469.1,20,1093.82,4375.28,2025-07,Y
HAR-P00048,E005,Priya Garcia,3236.76,40,1294.7,1942.06,2025-06,Y
HAR-P00049,E003,Matthew Choi,969.96,20,193.99,775.97,2025-07,Y
HAR-P00050,E003,Matthew Choi,9384.72,30,2815.42,6569.3,2026-02,N
