driver_id,policy_id,client_id,driver_name,date_of_birth,license_state,license_number,cdl,years_experience,mvr_date,violations_3yr,accidents_3yr
MER-P00003-D01,MER-P00003,MER-C0001,Elena Smith,1999-08-06,CT,CT60721101,N,17,2025-08-14,1,0
MER-P00003-D02,MER-P00003,MER-C0001,Brian Taylor,1964-08-12,CT,CT31497810,N,2,2025-09-21,1,0
MER-P00003-D03,MER-P00003,MER-C0001,Joseph Robinson,1983-05-19,CT,CT95311364,N,19,2025-05-09,0,1
MER-P00003-D04,MER-P00003,MER-C0001,Karen Williams,1967-09-18,CT,CT58115638,N,30,2026-02-10,0,0
MER-P00006-D01,MER-P00006,MER-C0002,Joseph Moore,1998-02-26,CT,CT46288258,N,31,2025-09-02,1,0
MER-P00006-D02,MER-P00006,MER-C0002,Susan Wilson,1976-07-26,CT,CT81906344,N,14,2025-09-07,1,0
MER-P00006-D03,MER-P00006,MER-C0002,Hiro Williams,1980-11-08,CT,CT86917124,N,3,2026-03-29,1,0
MER-P00006-D04,MER-P00006,MER-C0002,Susan Robinson,1968-03-11,CT,CT51886868,N,34,2025-08-12,2,0
MER-P00006-D05,MER-P00006,MER-C0002,Linda Kowalski,1989-08-31,CT,CT15031104,N,14,2026-03-04,2,0
MER-P00006-D06,MER-P00006,MER-C0002,Paul Choi,1966-11-01,CT,CT80098983,N,2,2025-03-11,0,0
MER-P00006-D07,MER-P00006,MER-C0002,Susan O'Brien,1962-10-06,CT,CT74736016,N,3,2025-10-13,1,0
MER-P00006-D08,MER-P00006,MER-C0002,Thomas Smith,1965-07-29,CT,CT91041422,N,5,2025-11-17,0,0
MER-P00023-D01,MER-P00023,MER-C0007,Hiro Patel,1987-02-14,CT,CT57861426,N,5,2025-11-02,1,0
MER-P00023-D02,MER-P00023,MER-C0007,Aisha Martinez,1975-08-04,CT,CT31077497,N,33,2026-02-03,1,0
MER-P00023-D03,MER-P00023,MER-C0007,Nancy Lewis,1979-03-25,CT,CT16054393,N,13,2025-04-21,1,0
MER-P00023-D04,MER-P00023,MER-C0007,Robert King,1992-10-21,CT,CT66852069,N,28,2025-02-24,0,0
MER-P00023-D05,MER-P00023,MER-C0007,Sarah Young,1978-11-29,CT,CT35633079,N,4,2025-09-20,1,1
MER-P00023-D06,MER-P00023,MER-C0007,Robert King,1971-08-16,CT,CT64554794,N,26,2025-08-21,0,0
MER-P00023-D07,MER-P00023,MER-C0007,Joseph Walker,1998-12-31,CT,CT57531734,N,6,2025-06-22,1,1
MER-P00023-D08,MER-P00023,MER-C0007,Patricia Delgado,1996-02-12,CT,CT88762585,N,12,2025-01-16,1,0
MER-P00030-D01,MER-P00030,MER-C0009,Jessica Martinez,1962-05-18,MA,MA12152133,N,15,2026-01-17,0,0
MER-P00030-D02,MER-P00030,MER-C0009,Luis Garcia,1979-10-15,MA,MA51004542,N,11,2025-09-01,2,0
MER-P00030-D03,MER-P00030,MER-C0009,Linda Lee,1997-01-22,MA,MA83631138,N,2,2025-07-09,1,0
MER-P00030-D04,MER-P00030,MER-C0009,Patricia Okafor,1990-02-12,MA,MA66687127,N,33,2025-02-01,2,0
MER-P00034-D01,MER-P00034,MER-C0010,Steven Delgado,1991-08-13,NY,NY69930156,N,7,2025-09-25,0,0
MER-P00034-D02,MER-P00034,MER-C0010,Omar Rodriguez,1996-01-27,NY,NY97580097,N,13,2026-02-08,1,1
MER-P00034-D03,MER-P00034,MER-C0010,Carlos Thomas,1977-07-15,NY,NY63444015,N,25,2025-12-01,0,0
MER-P00034-D04,MER-P00034,MER-C0010,Lisa Moore,1992-06-18,NY,NY17046267,N,34,2025-12-05,2,0
MER-P00034-D05,MER-P00034,MER-C0010,Paul Johnson,1973-09-20,NY,NY99216099,N,1,2025-08-05,0,0
MER-P00034-D06,MER-P00034,MER-C0010,Maria Okafor,1964-07-27,NY,NY69847744,N,22,2025-10-15,1,1
MER-P00034-D07,MER-P00034,MER-C0010,Priya Moore,1994-01-10,NY,NY26170042,N,21,2025-04-07,1,1
MER-P00034-D08,MER-P00034,MER-C0010,Joseph King,1968-07-30,NY,NY48349131,N,18,2025-04-09,0,0
MER-P00050-D01,MER-P00050,MER-C0014,Richard Schneider,1975-11-22,RI,RI78728438,N,23,2026-03-24,0,1
MER-P00050-D02,MER-P00050,MER-C0014,Patricia Garcia,1975-02-25,RI,RI12796869,N,16,2025-12-14,1,0
MER-P00050-D03,MER-P00050,MER-C0014,Wei Clark,1966-04-22,RI,RI74970727,N,28,2025-09-14,0,0
MER-P00050-D04,MER-P00050,MER-C0014,Hiro Moore,1991-09-09,RI,RI83674192,N,8,2025-05-05,0,0
MER-P00050-D05,MER-P00050,MER-C0014,Lisa O'Brien,1968-03-19,RI,RI14194173,N,3,2026-01-02,0,0
MER-P00050-D06,MER-P00050,MER-C0014,Wei Brown,1986-05-21,RI,RI46165682,N,19,2025-12-05,2,0
MER-P00050-D07,MER-P00050,MER-C0014,Elizabeth Wilson,1963-11-04,RI,RI28946221,N,15,2025-06-09,0,0
MER-P00050-D08,MER-P00050,MER-C0014,Patricia Martin,1991-08-18,RI,RI12558332,N,35,2025-06-11,0,0
MER-P00054-D01,MER-P00054,MER-C0015,Jennifer Wilson,1994-01-12,NY,NY36882977,N,9,2025-11-19,1,0
MER-P00054-D02,MER-P00054,MER-C0015,Steven Jones,1990-01-20,NY,NY16732160,N,8,2025-05-24,1,0
MER-P00069-D01,MER-P00069,MER-C0020,Daniel Patel,1981-06-10,RI,RI10828676,N,29,2025-06-20,1,0
MER-P00069-D02,MER-P00069,MER-C0020,Priya Lee,1981-05-15,RI,RI89055183,N,9,2025-10-07,0,0
MER-P00069-D03,MER-P00069,MER-C0020,Betty Young,1961-11-04,RI,RI81035939,N,13,2025-08-14,1,0
MER-P00069-D04,MER-P00069,MER-C0020,Jessica Nguyen,1965-08-16,RI,RI48547949,N,27,2026-02-26,1,0
MER-P00069-D05,MER-P00069,MER-C0020,Lisa Lopez,1991-02-11,RI,RI40317836,N,28,2025-03-09,0,1
MER-P00069-D06,MER-P00069,MER-C0020,Priya Brown,1987-11-03,RI,RI24351049,N,25,2026-03-18,0,0
MER-P00069-D07,MER-P00069,MER-C0020,Michelle Anderson,2001-07-01,RI,RI32090252,N,25,2025-08-07,0,0
MER-P00069-D08,MER-P00069,MER-C0020,Michelle Delgado,1968-04-15,RI,RI99377136,N,11,2025-05-20,1,0
MER-P00069-D09,MER-P00069,MER-C0020,Ashley Nguyen,2000-12-12,RI,RI12843071,N,26,2025-03-14,0,0
MER-P00088-D01,MER-P00088,MER-C0027,Nancy Scott,1990-07-12,MA,MA86679022,N,33,2025-01-13,1,0
MER-P00088-D02,MER-P00088,MER-C0027,Paul Thompson,1970-12-10,MA,MA14881209,N,34,2025-09-17,2,0
MER-P00088-D03,MER-P00088,MER-C0027,Lisa Miller,1984-08-11,MA,MA26248239,N,10,2025-08-21,0,1
MER-P00088-D04,MER-P00088,MER-C0027,Mark Hernandez,1985-04-17,MA,MA39105166,N,9,2025-07-12,2,0
MER-P00088-D05,MER-P00088,MER-C0027,Steven Anderson,1990-02-12,MA,MA88747690,N,8,2025-05-11,0,0
MER-P00088-D06,MER-P00088,MER-C0027,Elizabeth Williams,1983-12-14,MA,MA76857449,N,24,2025-09-22,0,0
MER-P00091-D01,MER-P00091,MER-C0028,Brian Fitzgerald,1965-07-12,NY,NY16367182,N,28,2026-03-20,0,0
MER-P00091-D02,MER-P00091,MER-C0028,Linda Kowalski,1961-09-15,NY,NY45908834,N,34,2025-10-18,0,0
MER-P00091-D03,MER-P00091,MER-C0028,Luis Young,1991-04-09,NY,NY23226909,N,16,2025-04-15,1,0
MER-P00091-D04,MER-P00091,MER-C0028,Linda Anderson,1995-03-17,NY,NY73958940,N,4,2026-03-13,0,0
MER-P00091-D05,MER-P00091,MER-C0028,Hiro Harris,1972-02-11,NY,NY92176947,N,29,2025-08-23,0,0
MER-P00091-D06,MER-P00091,MER-C0028,Emily Scott,1977-09-06,NY,NY42585824,N,33,2026-03-22,2,0
MER-P00091-D07,MER-P00091,MER-C0028,Jennifer Delgado,1985-08-17,NY,NY23525662,N,21,2025-11-10,1,0
MER-P00091-D08,MER-P00091,MER-C0028,Hiro Thompson,2001-10-31,NY,NY25445872,N,5,2025-03-01,1,0
MER-P00091-D09,MER-P00091,MER-C0028,Michael Fitzgerald,1982-07-31,NY,NY17871000,N,27,2025-06-04,0,0
MER-P00091-D10,MER-P00091,MER-C0028,Fatima Anderson,1969-05-09,NY,NY49636519,N,1,2025-02-01,0,0
MER-P00091-D11,MER-P00091,MER-C0028,James Garcia,1964-05-12,NY,NY25794772,N,33,2025-12-10,1,0
MER-P00095-D01,MER-P00095,MER-C0029,Emily Delgado,2002-05-19,NY,NY63791293,N,24,2025-04-27,0,0
MER-P00095-D02,MER-P00095,MER-C0029,Hiro Delgado,1985-12-02,NY,NY20229463,N,19,2025-12-22,0,0
MER-P00095-D03,MER-P00095,MER-C0029,Patricia Johnson,1967-09-06,NY,NY96716031,N,20,2025-02-06,1,0
MER-P00095-D04,MER-P00095,MER-C0029,Lisa Harris,1971-06-23,NY,NY69017916,N,2,2025-08-13,2,0
MER-P00095-D05,MER-P00095,MER-C0029,Lisa Martinez,1972-11-05,NY,NY74518089,N,24,2025-01-23,1,0
MER-P00095-D06,MER-P00095,MER-C0029,Karen Wilson,1987-12-26,NY,NY16095278,N,21,2025-09-19,0,0
MER-P00095-D07,MER-P00095,MER-C0029,Maria Patel,1990-07-26,NY,NY45689911,N,10,2025-04-28,0,0
MER-P00095-D08,MER-P00095,MER-C0029,Wei White,1976-06-01,NY,NY43590332,N,5,2025-03-18,0,1
MER-P00095-D09,MER-P00095,MER-C0029,Sandra Patel,1988-11-08,NY,NY58410888,N,14,2025-08-29,0,1
MER-P00119-D01,MER-P00119,MER-C0037,Karen Rodriguez,1988-07-21,NY,NY93135115,Y,6,2025-01-15,0,1
MER-P00119-D02,MER-P00119,MER-C0037,Aisha Allen,1962-08-23,NY,NY97907998,Y,7,2026-03-11,0,1
MER-P00119-D03,MER-P00119,MER-C0037,Matthew Smith,1963-10-29,NY,NY36587503,Y,8,2025-10-06,0,0
MER-P00119-D04,MER-P00119,MER-C0037,Elizabeth Hernandez,1979-12-06,NY,NY93644565,Y,34,2025-04-19,0,0
MER-P00119-D05,MER-P00119,MER-C0037,Anthony Fitzgerald,1998-02-17,NY,NY88638099,Y,4,2025-03-18,2,1
MER-P00119-D06,MER-P00119,MER-C0037,Brian Martinez,1996-03-20,NY,NY30567922,Y,31,2026-01-28,0,1
MER-P00119-D07,MER-P00119,MER-C0037,Omar Hernandez,1986-02-26,NY,NY83401936,Y,3,2026-03-30,0,0
MER-P00119-D08,MER-P00119,MER-C0037,Jennifer Harris,1968-01-04,NY,NY98215553,Y,12,2025-04-27,1,0
MER-P00119-D09,MER-P00119,MER-C0037,Nancy Martin,2002-11-28,NY,NY13747066,Y,30,2026-01-01,1,0
MER-P00119-D10,MER-P00119,MER-C0037,Karen O'Brien,1990-05-17,NY,NY37512217,Y,34,2025-01-09,1,0
MER-P00119-D11,MER-P00119,MER-C0037,Brian Williams,1972-01-02,NY,NY18601261,Y,13,2025-12-26,0,0
MER-P00119-D12,MER-P00119,MER-C0037,Fatima Nguyen,1993-07-31,NY,NY51218253,Y,34,2025-04-11,0,0
MER-P00119-D13,MER-P00119,MER-C0037,Priya Scott,1971-12-05,NY,NY82303578,Y,18,2025-07-12,2,1
MER-P00119-D14,MER-P00119,MER-C0037,Susan Robinson,1989-11-02,NY,NY23573966,Y,6,2026-01-02,1,0
MER-P00119-D15,MER-P00119,MER-C0037,Kevin Lopez,1988-02-28,NY,NY20244674,Y,10,2025-07-11,0,0
MER-P00119-D16,MER-P00119,MER-C0037,James Jackson,1971-05-12,NY,NY28183253,Y,5,2026-02-21,1,0
MER-P00119-D17,MER-P00119,MER-C0037,Hiro Kowalski,1971-11-05,NY,NY89699976,Y,32,2025-06-20,1,1
MER-P00119-D18,MER-P00119,MER-C0037,Linda Moore,1997-02-17,NY,NY90529263,Y,30,2026-01-21,0,1
MER-P00119-D19,MER-P00119,MER-C0037,Elena Okafor,1979-08-13,NY,NY69760871,Y,5,2025-06-04,0,0
MER-P00119-D20,MER-P00119,MER-C0037,Kevin Lee,1998-11-10,NY,NY35609868,Y,8,2025-06-14,1,1
MER-P00119-D21,MER-P00119,MER-C0037,Kevin Walker,1977-02-23,NY,NY50919115,Y,21,2025-03-24,1,0
MER-P00119-D22,MER-P00119,MER-C0037,Sandra Thomas,2003-07-09,NY,NY70666706,Y,22,2025-06-24,0,1
MER-P00119-D23,MER-P00119,MER-C0037,Kevin Schneider,1984-06-06,NY,NY33031961,Y,28,2026-01-02,2,0
