policy_id,producer_id,producer_name,agency_commission,producer_split_pct,producer_commission,house_commission,payable_month,paid
MER-P00001,E003,Joseph Garcia,3153.0,35,1103.55,2049.45,2025-08,Y
MER-P00002,E003,Joseph Garcia,5356.54,40,2142.62,3213.92,2025-10,Y
MER-P00003,E003,Joseph Garcia,4997.04,25,1249.26,3747.78,2025-05,Y
MER-P00004,E003,Joseph Garcia,691.2,20,138.24,552.96,2026-03,N
MER-P00005,E008,Donna Robinson,14943.32,25,3735.83,11207.49,2026-02,N
MER-P00006,E008,Donna Robinson,13801.2,20,2760.24,11040.96,2025-08,Y
MER-P00007,E008,Donna Robinson,2788.44,25,697.11,2091.33,2025-12,Y
MER-P00008,E002,Karen Delgado,1856.64,35,649.82,1206.82,2025-08,Y
MER-P00009,E002,Karen Delgado,4322.64,25,1080.66,3241.98,2025-10,Y
MER-P00010,E002,Karen Delgado,17531.8,20,3506.36,14025.44,2025-07,Y
MER-P00011,E002,Karen Delgado,1044.6,30,313.38,731.22,2025-05,Y
MER-P00012,E002,Karen Delgado,8546.1,30,2563.83,5982.27,2025-08,Y
MER-P00013,E002,Karen Delgado,11446.12,35,4006.14,7439.98,2026-03,N
MER-P00014,E002,Karen Delgado,5971.98,30,1791.59,4180.39,2025-07,Y
MER-P00015,E008,Donna Robinson,8173.5,25,2043.38,6130.12,2026-02,Y
MER-P00016,E008,Donna Robinson,5278.95,35,1847.63,3431.32,2025-06,Y
MER-P00017,E008,Donna Robinson,6105.4,35,2136.89,3968.51,2026-03,N
MER-P00018,E007,Omar Clark,1469.04,20,293.81,1175.23,2025-08,Y
MER-P00019,E007,Omar Clark,3317.25,25,829.31,2487.94,2025-08,Y
MER-P00020,E007,Omar Clark,543.4,40,217.36,326.04,2026-03,N
MER-P00021,E008,Donna Robinson,1648.5,40,659.4,989.1,2025-06,Y
MER-P00022,E008,Donna Robinson,4055.28,25,1013.82,3041.46,2026-03,N
MER-P00023,E008,Donna Robinson,3557.64,25,889.41,2668.23,2025-05,Y
MER-P00024,E008,Donna Robinson,9599.6,35,3359.86,6239.74,2025-06,Y
MER-P00025,E002,Karen Delgado,6458.25,20,1291.65,5166.6,2025-04,Y
MER-P00026,E002,Karen Delgado,4776.96,30,1433.09,3343.87,2025-11,Y
MER-P00027,E002,Karen Delgado,5081.3,20,1016.26,4065.04,2026-01,Y
MER-P00028,E007,Omar Clark,3757.5,25,939.38,2818.12,2026-03,N
MER-P00029,E007,Omar Clark,3564.6,20,712.92,2851.68,2025-12,Y
MER-P00030,E007,Omar Clark,14317.92,35,5011.27,9306.65,2026-03,N
MER-P00031,E007,Omar Clark,24337.95,25,6084.49,18253.46,2025-07,Y
MER-P00032,E008,Donna Robinson,1229.25,25,307.31,921.94,2026-03,N
MER-P00033,E008,Donna Robinson,3294.24,30,988.27,2305.97,2026-01,Y
MER-P00034,E008,Donna Robinson,1969.2,25,492.3,1476.9,2026-03,N
MER-P00035,E008,Donna Robinson,1863.84,25,465.96,1397.88,2025-09,Y
MER-P00036,E002,Karen Delgado,2217.45,25,554.36,1663.09,2025-04,Y
MER-P00037,E002,Karen Delgado,4745.85,20,949.17,3796.68,2026-01,Y
MER-P00038,E002,Karen Delgado,4657.8,30,1397.34,3260.46,2025-09,Y
MER-P00039,E002,Karen Delgado,3110.25,20,622.05,2488.2,2025-08,Y
MER-P00040,E002,Karen Delgado,8110.95,20,1622.19,6488.76,2026-02,N
MER-P00041,E002,Karen Delgado,7023.8,20,1404.76,5619.04,2026-03,N
MER-P00042,E002,Karen Delgado,18231.78,20,3646.36,14585.42,2025-11,Y
MER-P00043,E002,Karen Delgado,4274.76,35,1496.17,2778.59,2025-08,Y
MER-P00044,E002,Karen Delgado,7526.25,25,1881.56,5644.69,2025-12,Y
MER-P00045,E002,Karen Delgado,9376.5,35,3281.77,6094.73,2025-12,Y
MER-P00046,E002,Karen Delgado,1452.0,20,290.4,1161.6,2025-07,Y
MER-P00047,E002,Karen Delgado,8014.1,25,2003.53,6010.58,2025-08,Y
MER-P00048,E006,Betty Delgado,7140.0,20,1428.0,5712.0,2025-05,Y
MER-P00049,E006,Betty Delgado,1671.0,25,417.75,1253.25,2025-11,Y
MER-P00050,E006,Betty Delgado,10203.75,25,2550.94,7652.81,2025-07,Y
MER-P00051,E006,Betty Delgado,14497.68,25,3624.42,10873.26,2025-09,Y
MER-P00052,E008,Donna Robinson,5428.44,35,1899.95,3528.49,2026-01,Y
MER-P00053,E008,Donna Robinson,4906.92,35,1717.42,3189.5,2025-08,Y
MER-P00054,E008,Donna Robinson,3453.72,25,863.43,2590.29,2025-11,Y
MER-P00055,E008,Donna Robinson,600.6,20,120.12,480.48,2025-05,Y
