employee_id,licensee_name,npn,state,license_type,license_number,issue_date,expiration_date,ce_hours_required,ce_hours_completed,resident,status
E001,Mark Walker,19407521,CT,Property & Casualty Producer,1998516,2025-09-11,2027-09-11,24,24,Y,Active
E002,Karen Delgado,10423416,CT,Property & Casualty Producer,3861960,2024-12-20,2026-12-20,24,24,Y,Active
E003,Joseph Garcia,17558383,CT,Property & Casualty Producer,3624306,2024-05-27,2026-05-27,24,24,Y,Active
E004,Susan Rodriguez,10354716,CT,Property & Casualty Producer,3652796,2025-01-11,2027-01-11,24,18,Y,Active
E004,Susan Rodriguez,18243505,NY,Property & Casualty Producer,1590686,2025-09-19,2027-09-19,24,24,N,Active
E005,Hiro Wright,18292790,CT,Property & Casualty Producer,1559217,2024-02-03,2026-02-02,24,24,Y,EXPIRED
E005,Hiro Wright,19008099,NJ,Property & Casualty Producer,2526976,2024-04-26,2026-04-26,24,18,N,Active
E006,Betty Delgado,10106254,CT,Property & Casualty Producer,4385253,2024-10-17,2026-10-17,24,12,Y,Active
E007,Omar Clark,16579326,CT,Property & Casualty Producer,3664434,2024-10-10,2026-10-10,24,12,Y,Active
E008,Donna Robinson,17673676,CT,Property & Casualty Producer,7437544,2024-01-23,2026-01-22,24,24,Y,EXPIRED
E009,Robert Miller,13614177,CT,Property & Casualty Producer,2592884,2024-11-24,2026-11-24,24,24,Y,Active
E009,Robert Miller,10523348,NJ,Property & Casualty Producer,3830970,2025-06-03,2027-06-03,24,24,N,Active
E010,Karen Clark,13051184,CT,Property & Casualty Producer,5256065,2024-07-11,2026-07-11,24,18,Y,Active
E011,Mark Miller,11880039,CT,Property & Casualty Producer,6767171,2024-02-10,2026-02-09,24,18,Y,EXPIRED
E012,Jennifer Kowalski,12100609,CT,Property & Casualty Producer,1608669,2025-06-18,2027-06-18,24,24,Y,Active
E013,Thomas Walker,16041296,CT,Property & Casualty Producer,7053304,2025-01-27,2027-01-27,24,24,Y,Active
E013,Thomas Walker,18181370,NJ,Property & Casualty Producer,7058506,2025-01-07,2027-01-07,24,24,N,Active
E014,Linda Thompson,11186004,CT,Property & Casualty Producer,8759113,2024-05-06,2026-05-06,24,24,Y,Active
E014,Linda Thompson,12927320,NJ,Property & Casualty Producer,6262032,2025-07-04,2027-07-04,24,18,N,Active
E015,Mark Anderson,11301061,CT,Property & Casualty Producer,2870768,2024-01-18,2026-01-17,24,6,Y,EXPIRED
E016,Sarah Hernandez,14419574,CT,Property & Casualty Producer,6690331,2024-10-02,2026-10-02,24,12,Y,Active
E016,Sarah Hernandez,12710929,OH,Property & Casualty Producer,5523984,2025-02-08,2027-02-08,24,24,N,Active
E017,Michael Delgado,17886159,CT,Property & Casualty Producer,6324965,2024-11-21,2026-11-21,24,24,Y,Active
E018,Carlos Nakamura,16560349,CT,Property & Casualty Producer,8363527,2024-03-23,2026-03-23,24,12,Y,EXPIRED
E018,Carlos Nakamura,16501998,OH,Property & Casualty Producer,8747810,2025-08-12,2027-08-12,24,6,N,Active
E019,Emily Hernandez,12296059,CT,Property & Casualty Producer,9564700,2025-01-29,2027-01-29,24,24,Y,Active
E019,Emily Hernandez,19356665,MA,Property & Casualty Producer,1750304,2025-12-09,2027-12-09,24,24,N,Active
E020,Emily Scott,10594959,CT,Property & Casualty Producer,1380864,2025-07-30,2027-07-30,24,12,Y,Active
E021,Matthew Jones,14050652,CT,Property & Casualty Producer,7709477,2025-08-21,2027-08-21,24,24,Y,Active
E021,Matthew Jones,11574873,GA,Property & Casualty Producer,1649336,2024-12-27,2026-12-27,24,24,N,Active
