employee_id,full_name,role,department,email,hire_date,employment_type,annual_salary,state,status,termination_date
E001,Mark Walker,Producer,Sales,mwalker@meridianrisk.com,2014-04-18,Full-Time,85000,CT,Active,
E002,Karen Delgado,Producer,Sales,kdelgado@meridianrisk.com,2021-04-22,Full-Time,92000,CT,Active,
E003,Joseph Garcia,Producer,Sales,jgarcia@meridianrisk.com,1999-02-09,Full-Time,101000,CT,Active,
E004,Susan Rodriguez,Producer,Sales,srodriguez@meridianrisk.com,2000-05-09,Full-Time,104000,CT,Active,
E005,Hiro Wright,Producer,Sales,hwright@meridianrisk.com,2024-06-01,Full-Time,80000,CT,Active,
E006,Betty Delgado,Producer,Sales,bdelgado@meridianrisk.com,2024-10-12,Full-Time,89000,CT,Active,
E007,Omar Clark,Producer,Sales,oclark@meridianrisk.com,2002-01-30,Full-Time,70000,CT,Active,
E008,Donna Robinson,Producer,Sales,drobinson@meridianrisk.com,2015-07-19,Full-Time,101000,CT,Active,
E009,Robert Miller,Account Manager,Service,rmiller@meridianrisk.com,2024-11-17,Full-Time,65000,CT,Active,
E010,Karen Clark,Account Manager,Service,kclark@meridianrisk.com,2008-08-18,Full-Time,71000,CT,Active,
E011,Mark Miller,Account Manager,Service,mmiller@meridianrisk.com,2022-06-29,Full-Time,65000,CT,Active,
E012,Jennifer Kowalski,Account Manager,Service,jkowalski@meridianrisk.com,2017-01-23,Full-Time,64000,CT,Active,
E013,Thomas Walker,Account Manager,Service,twalker@meridianrisk.com,1999-01-25,Full-Time,64000,CT,Active,
E014,Linda Thompson,Account Manager,Service,lthompson@meridianrisk.com,2009-08-13,Full-Time,53000,CT,Active,
E015,Mark Anderson,Account Manager,Service,manderson@meridianrisk.com,2023-07-16,Full-Time,78000,CT,Active,
E016,Sarah Hernandez,Account Manager,Service,shernandez@meridianrisk.com,2025-04-28,Full-Time,63000,CT,Active,
E017,Michael Delgado,Account Manager,Service,mdelgado@meridianrisk.com,2002-05-05,Full-Time,60000,CT,Active,
E018,Carlos Nakamura,Account Manager,Service,cnakamura@meridianrisk.com,2000-07-02,Full-Time,74000,CT,Active,
E019,Emily Hernandez,Account Executive,Service,ehernandez@meridianrisk.com,2014-08-08,Full-Time,80000,CT,Active,
E020,Emily Scott,Account Executive,Service,escott@meridianrisk.com,2016-09-22,Full-Time,87000,CT,Active,
E021,Matthew Jones,Account Executive,Service,mjones@meridianrisk.com,2018-05-26,Full-Time,98000,CT,Active,
E022,Daniel Delgado,Claims Advocate,Service,ddelgado@meridianrisk.com,2000-11-16,Full-Time,76000,CT,Active,
E023,Carlos Smith,Accounting Specialist,Accounting,csmith@meridianrisk.com,2023-09-04,Full-Time,62000,CT,Active,
E024,Luis Harris,Accounting Specialist,Accounting,lharris@meridianrisk.com,2016-10-19,Full-Time,64000,CT,Active,
E025,Matthew Choi,Certificate Specialist,Service,mchoi@meridianrisk.com,2013-01-06,Part-Time,48000,CT,Active,
E026,James Hernandez,Marketing Specialist,Marketing,jhernandez@meridianrisk.com,2008-03-11,Part-Time,68000,CT,Active,
E027,Jennifer Young,Office Manager,Admin,jyoung@meridianrisk.com,2020-11-10,Full-Time,64000,CT,Active,
E028,Elena Lee,President,Executive,elee@meridianrisk.com,2013-01-28,Full-Time,208000,CT,Active,
E029,Lisa Okafor,CFO,Accounting,lokafor@meridianrisk.com,2013-04-14,Full-Time,157000,CT,Active,
E030,Jessica Young,IT Administrator,IT,jyoung@meridianrisk.com,2013-07-21,Full-Time,70000,CT,Active,
E031,Brian Wilson,Receptionist,Admin,bwilson@meridianrisk.com,2015-12-26,Full-Time,42000,CT,Active,
E032,Daniel Anderson,Account Manager,Admin,danderson@meridianrisk.com,2015-12-26,Full-Time,42000,CT,Terminated,2025-11-14
