pay_date,employee_id,employee_name,gross_pay,commission_bonus,federal_withholding,state_withholding,fica,401k_employee,health_premium_employee,net_pay
2025-10-15,E001,Mark Walker,3541.67,0,566.67,159.38,270.94,0.0,485.0,2059.68
2025-10-31,E001,Mark Walker,3541.67,3722,566.67,159.38,270.94,0.0,485.0,5781.68
2025-10-15,E002,Karen Delgado,3833.33,0,613.33,172.5,293.25,230.0,310.0,2214.25
2025-10-31,E002,Karen Delgado,3833.33,2719,613.33,172.5,293.25,0.0,310.0,5163.25
2025-10-15,E003,Joseph Garcia,4208.33,0,673.33,189.37,321.94,0.0,142.5,2881.19
2025-10-31,E003,Joseph Garcia,4208.33,3008,673.33,189.37,321.94,126.25,142.5,5762.94
2025-10-15,E004,Susan Rodriguez,4333.33,0,693.33,195.0,331.5,216.67,485.0,2411.83
2025-10-31,E004,Susan Rodriguez,4333.33,1102,693.33,195.0,331.5,130.0,485.0,3600.5
2025-10-15,E005,Hiro Wright,3333.33,0,533.33,150.0,255.0,200.0,142.5,2052.5
2025-10-31,E005,Hiro Wright,3333.33,348,533.33,150.0,255.0,166.67,0,2576.33
2025-10-15,E006,Betty Delgado,3708.33,0,593.33,166.87,283.69,0.0,310.0,2354.44
2025-10-31,E006,Betty Delgado,3708.33,1182,593.33,166.87,283.69,222.5,485.0,3138.94
2025-10-15,E007,Omar Clark,2916.67,0,466.67,131.25,223.13,87.5,310.0,1698.12
2025-10-31,E007,Omar Clark,2916.67,406,466.67,131.25,223.13,145.83,142.5,2213.29
2025-10-15,E008,Donna Robinson,4208.33,0,673.33,189.37,321.94,126.25,0,2897.44
2025-10-31,E008,Donna Robinson,4208.33,2242,673.33,189.37,321.94,126.25,0,5139.44
2025-10-15,E009,Robert Miller,2708.33,0,433.33,121.87,207.19,162.5,485.0,1298.44
2025-10-31,E009,Robert Miller,2708.33,0,433.33,121.87,207.19,81.25,310.0,1554.69
2025-10-15,E010,Karen Clark,2958.33,0,473.33,133.12,226.31,0.0,310.0,1815.57
2025-10-31,E010,Karen Clark,2958.33,0,473.33,133.12,226.31,0.0,0,2125.57
2025-10-15,E011,Mark Miller,2708.33,0,433.33,121.87,207.19,135.42,310.0,1500.52
2025-10-31,E011,Mark Miller,2708.33,0,433.33,121.87,207.19,0.0,142.5,1803.44
2025-10-15,E012,Jennifer Kowalski,2666.67,0,426.67,120.0,204.0,0.0,310.0,1606.0
2025-10-31,E012,Jennifer Kowalski,2666.67,0,426.67,120.0,204.0,133.33,0,1782.67
2025-10-15,E013,Thomas Walker,2666.67,0,426.67,120.0,204.0,133.33,0,1782.67
2025-10-31,E013,Thomas Walker,2666.67,0,426.67,120.0,204.0,0.0,0,1916.0
2025-10-15,E014,Linda Thompson,2208.33,0,353.33,99.37,168.94,0.0,485.0,1101.69
2025-10-31,E014,Linda Thompson,2208.33,0,353.33,99.37,168.94,0.0,142.5,1444.19
2025-10-15,E015,Mark Anderson,3250.0,0,520.0,146.25,248.62,97.5,485.0,1752.63
2025-10-31,E015,Mark Anderson,3250.0,0,520.0,146.25,248.62,195.0,310.0,1830.13
2025-10-15,E016,Sarah Hernandez,2625.0,0,420.0,118.12,200.81,78.75,0,1807.32
2025-10-31,E016,Sarah Hernandez,2625.0,0,420.0,118.12,200.81,157.5,142.5,1586.07
2025-10-15,E017,Michael Delgado,2500.0,0,400.0,112.5,191.25,0.0,485.0,1311.25
2025-10-31,E017,Michael Delgado,2500.0,0,400.0,112.5,191.25,150.0,0,1646.25
2025-10-15,E018,Carlos Nakamura,3083.33,0,493.33,138.75,235.87,154.17,485.0,1576.21
2025-10-31,E018,Carlos Nakamura,3083.33,0,493.33,138.75,235.87,92.5,310.0,1812.88
2025-10-15,E019,Emily Hernandez,3333.33,0,533.33,150.0,255.0,166.67,142.5,2085.83
2025-10-31,E019,Emily Hernandez,3333.33,0,533.33,150.0,255.0,0.0,142.5,2252.5
2025-10-15,E020,Emily Scott,3625.0,0,580.0,163.12,277.31,181.25,310.0,2113.32
2025-10-31,E020,Emily Scott,3625.0,0,580.0,163.12,277.31,0.0,310.0,2294.57
2025-10-15,E021,Matthew Jones,4083.33,0,653.33,183.75,312.37,204.17,142.5,2587.21
2025-10-31,E021,Matthew Jones,4083.33,0,653.33,183.75,312.37,0.0,485.0,2448.88
2025-10-15,E022,Daniel Delgado,3166.67,0,506.67,142.5,242.25,95.0,0,2180.25
2025-10-31,E022,Daniel Delgado,3166.67,0,506.67,142.5,242.25,190.0,142.5,1942.75
2025-10-15,E023,Carlos Smith,2583.33,0,413.33,116.25,197.62,0.0,310.0,1546.13
2025-10-31,E023,Carlos Smith,2583.33,0,413.33,116.25,197.62,155.0,142.5,1558.63
2025-10-15,E024,Luis Harris,2666.67,0,426.67,120.0,204.0,133.33,310.0,1472.67
2025-10-31,E024,Luis Harris,2666.67,0,426.67,120.0,204.0,160.0,142.5,1613.5
2025-10-15,E025,Matthew Choi,2000.0,0,320.0,90.0,153.0,100.0,142.5,1194.5
2025-10-31,E025,Matthew Choi,2000.0,0,320.0,90.0,153.0,120.0,0,1317.0
2025-10-15,E026,James Hernandez,2833.33,0,453.33,127.5,216.75,170.0,485.0,1380.75
2025-10-31,E026,James Hernandez,2833.33,0,453.33,127.5,216.75,85.0,142.5,1808.25
2025-10-15,E027,Jennifer Young,2666.67,0,426.67,120.0,204.0,80.0,142.5,1693.5
2025-10-31,E027,Jennifer Young,2666.67,0,426.67,120.0,204.0,0.0,485.0,1431.0
2025-10-15,E028,Elena Lee,8666.67,0,1386.67,390.0,663.0,0.0,142.5,6084.5
2025-10-31,E028,Elena Lee,8666.67,0,1386.67,390.0,663.0,433.33,0,5793.67
2025-10-15,E029,Lisa Okafor,6541.67,0,1046.67,294.38,500.44,392.5,0,4307.68
2025-10-31,E029,Lisa Okafor,6541.67,0,1046.67,294.38,500.44,0.0,142.5,4557.68
2025-10-15,E030,Jessica Young,2916.67,0,466.67,131.25,223.13,145.83,310.0,1639.79
2025-10-31,E030,Jessica Young,2916.67,0,466.67,131.25,223.13,175.0,142.5,1778.12
2025-10-15,E031,Brian Wilson,1750.0,0,280.0,78.75,133.88,52.5,0,1204.87
2025-10-31,E031,Brian Wilson,1750.0,0,280.0,78.75,133.88,105.0,0,1152.37
2025-11-15,E001,Mark Walker,3541.67,0,566.67,159.38,270.94,106.25,485.0,1953.43
2025-11-30,E001,Mark Walker,3541.67,80,566.67,159.38,270.94,106.25,0,2518.43
2025-11-15,E002,Karen Delgado,3833.33,0,613.33,172.5,293.25,0.0,142.5,2611.75
2025-11-30,E002,Karen Delgado,3833.33,283,613.33,172.5,293.25,230.0,142.5,2664.75
2025-11-15,E003,Joseph Garcia,4208.33,0,673.33,189.37,321.94,252.5,142.5,2628.69
2025-11-30,E003,Joseph Garcia,4208.33,224,673.33,189.37,321.94,126.25,0,3121.44
2025-11-15,E004,Susan Rodriguez,4333.33,0,693.33,195.0,331.5,216.67,310.0,2586.83
2025-11-30,E004,Susan Rodriguez,4333.33,2207,693.33,195.0,331.5,130.0,310.0,4880.5
2025-11-15,E005,Hiro Wright,3333.33,0,533.33,150.0,255.0,166.67,142.5,2085.83
2025-11-30,E005,Hiro Wright,3333.33,850,533.33,150.0,255.0,100.0,142.5,3002.5
2025-11-15,E006,Betty Delgado,3708.33,0,593.33,166.87,283.69,111.25,485.0,2068.19
2025-11-30,E006,Betty Delgado,3708.33,3491,593.33,166.87,283.69,0.0,310.0,5845.44
2025-11-15,E007,Omar Clark,2916.67,0,466.67,131.25,223.13,175.0,310.0,1610.62
2025-11-30,E007,Omar Clark,2916.67,721,466.67,131.25,223.13,175.0,0,2641.62
2025-11-15,E008,Donna Robinson,4208.33,0,673.33,189.37,321.94,210.42,310.0,2503.27
2025-11-30,E008,Donna Robinson,4208.33,2484,673.33,189.37,321.94,210.42,310.0,4987.27
2025-11-15,E009,Robert Miller,2708.33,0,433.33,121.87,207.19,0.0,142.5,1803.44
2025-11-30,E009,Robert Miller,2708.33,0,433.33,121.87,207.19,0.0,142.5,1803.44
2025-11-15,E010,Karen Clark,2958.33,0,473.33,133.12,226.31,177.5,0,1948.07
2025-11-30,E010,Karen Clark,2958.33,0,473.33,133.12,226.31,147.92,142.5,1835.15
2025-11-15,E011,Mark Miller,2708.33,0,433.33,121.87,207.19,0.0,142.5,1803.44
2025-11-30,E011,Mark Miller,2708.33,0,433.33,121.87,207.19,0.0,142.5,1803.44
2025-11-15,E012,Jennifer Kowalski,2666.67,0,426.67,120.0,204.0,80.0,310.0,1526.0
2025-11-30,E012,Jennifer Kowalski,2666.67,0,426.67,120.0,204.0,133.33,0,1782.67
2025-11-15,E013,Thomas Walker,2666.67,0,426.67,120.0,204.0,80.0,485.0,1351.0
2025-11-30,E013,Thomas Walker,2666.67,0,426.67,120.0,204.0,133.33,310.0,1472.67
2025-11-15,E014,Linda Thompson,2208.33,0,353.33,99.37,168.94,66.25,142.5,1377.94
2025-11-30,E014,Linda Thompson,2208.33,0,353.33,99.37,168.94,110.42,310.0,1166.27
2025-11-15,E015,Mark Anderson,3250.0,0,520.0,146.25,248.62,0.0,485.0,1850.13
2025-11-30,E015,Mark Anderson,3250.0,0,520.0,146.25,248.62,0.0,485.0,1850.13
2025-11-15,E016,Sarah Hernandez,2625.0,0,420.0,118.12,200.81,157.5,142.5,1586.07
2025-11-30,E016,Sarah Hernandez,2625.0,0,420.0,118.12,200.81,157.5,310.0,1418.57
2025-11-15,E017,Michael Delgado,2500.0,0,400.0,112.5,191.25,0.0,0,1796.25
2025-11-30,E017,Michael Delgado,2500.0,0,400.0,112.5,191.25,75.0,0,1721.25
2025-11-15,E018,Carlos Nakamura,3083.33,0,493.33,138.75,235.87,154.17,485.0,1576.21
2025-11-30,E018,Carlos Nakamura,3083.33,0,493.33,138.75,235.87,185.0,485.0,1545.38
2025-11-15,E019,Emily Hernandez,3333.33,0,533.33,150.0,255.0,0.0,310.0,2085.0
2025-11-30,E019,Emily Hernandez,3333.33,0,533.33,150.0,255.0,0.0,310.0,2085.0
2025-11-15,E020,Emily Scott,3625.0,0,580.0,163.12,277.31,181.25,0,2423.32
